,어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,일시
0,(활)굴,통영,중,box,5,1.0,"20,000","20,000","20,000",2008.01.02
1,(활)굴,통영,중,box,2,1.5,"25,000","25,000","25,000",2008.01.02
2,(선)깐굴,통영,소,box,500,1.2,"5,700","4,700","5,100",2008.01.02
3,(선)깐굴,고흥,소,box,15,3.6,"16,000","16,000","16,000",2008.01.02
4,(선)깐굴,고흥,소,box,28,3.9,"16,000","13,500","14,700",2008.01.02
5,(선)깐굴,남해,소,box,150,2.0,"10,000","10,000","10,000",2008.01.02
6,(선)깐굴,통영,소,box,50,2.1,"10,000","10,000","10,000",2008.01.02
7,(선)깐굴,남해,소,box,53,4.0,"13,000","12,000","12,700",2008.01.02
8,(선)깐굴,통영,소,box,173,1.9,"9,200","9,200","9,200",2008.01.02
9,(선)깐굴,통영,소,box,831,1.7,"10,000","6,000","7,300",2008.01.02
10,(선)깐굴,고흥,소,box,92,3.8,"16,500","14,000","15,500",2008.01.02
11,(선)깐굴,통영,소,box,229,1.1,"5,700","4,700","5,100",2008.01.02
12,(선)깐굴,삼천포,소,box,189,3.9,"26,000","22,000","22,900",2008.01.02
13,(선)깐굴,삼천포,소,box,42,1.7,"15,000","14,000","14,500",2008.01.02
14,(선)깐굴,남해,소,box,195,1.9,"11,000","8,500","10,400",2008.01.02
15,(선)깐굴,삼천포,소,box,141,1.8,"14,500","13,000","14,200",2008.01.02
16,(선)깐굴,삼천포,소,box,209,3.5,"23,500","22,000","22,700",2008.01.02
17,(선)깐굴,고흥,소,box,48,3.7,"15,000","14,000","14,600",2008.01.02
18,(선)깐굴,삼천포,소,box,6,3.3,"16,000","16,000","16,000",2008.01.02
19,(선)깐굴,삼천포,소,box,127,2.0,"14,000","8,000","9,900",2008.01.02
20,(선)깐굴,통영,소,box,206,1.6,"7,700","7,700","7,700",2008.01.02
21,(선)깐굴,삼천포,소,box,80,1.9,"15,000","15,000","15,000",2008.01.02
22,(선)깐굴,남해,소,box,132,3.9,"24,000","12,000","13,900",2008.01.02
23,(선)깐굴,통영,소,box,215,2.5,"10,500","10,500","10,500",2008.01.02
24,(선)깐굴,삼천포,소,box,8,3.7,"18,000","18,000","18,000",2008.01.02
25,(선)깐굴,삼천포,소,box,70,3.6,"25,000","23,000","23,300",2008.01.02
26,(선)깐굴,통영,소,box,88,2.3,"12,500","12,500","12,500",2008.01.02
27,(선)깐굴,남해,소,box,94,3.7,"12,000","12,000","12,000",2008.01.02
28,(선)깐굴,삼천포,소,box,30,3.8,"25,000","25,000","25,000",2008.01.02
29,(선)깐굴,통영,소,box,25,2.2,"12,000","12,000","12,000",2008.01.02
30,(선)깐굴,통영,소,box,80,3.5,"8,000","7,000","7,500",2008.01.02
31,(선)깐굴,통영,소,box,"1,302",1.8,"8,800","6,700","8,100",2008.01.02
32,(선)깐굴,남해,소,box,2,3.8,"12,500","12,500","12,500",2008.01.02
33,(선)깐굴,통영,소,box,40,2.7,"12,000","12,000","12,000",2008.01.02
34,(선)깐굴,남해,소,box,58,1.7,"15,000","15,000","15,000",2008.01.02
35,(선)깐굴,통영,소,box,74,2.6,"11,000","11,000","11,000",2008.01.02
36,(선)깐굴,통영,소,box,96,1.0,"5,500","5,500","5,500",2008.01.02
37,(활)바위굴,삼천포,대,box,80,10.0,"11,500","11,500","11,500",2008.01.02
38,(활)바위굴,마산,대,box,348,10.0,"11,000","7,000","9,200",2008.01.02
39,(활)바위굴,마산,중,box,3,14.0,"23,000","23,000","23,000",2008.01.02
40,(활)바위굴,통영,대,box,96,10.0,"11,000","11,000","11,000",2008.01.02
41,(선)바위굴,마산,대,box,40,10.0,"15,000","14,000","14,500",2008.01.02
42,(선)바위굴,삼천포,대,box,30,10.0,"14,500","14,500","14,500",2008.01.02
43,(선)바위굴,통영,대,box,80,10.0,"12,000","8,000","9,400",2008.01.02
44,(가공)봉굴,통영,대,box,15,10.0,"25,000","25,000","25,000",2008.01.02
45,(선)깐굴,고흥,소,box,58,4.0,"16,000","16,000","16,000",2008.01.03
46,(선)깐굴,사천,소,box,141,3.9,"24,000","22,000","24,000",2008.01.03
47,(선)깐굴,고흥,소,box,89,3.9,"17,000","15,500","16,300",2008.01.03
48,(선)깐굴,남해,소,box,7,2.0,"16,000","16,000","16,000",2008.01.03
49,(선)깐굴,고흥,소,box,8,4.2,"15,000","15,000","15,000",2008.01.03
50,(선)깐굴,남해,소,box,134,4.0,"13,000","12,500","12,700",2008.01.03
51,(선)깐굴,사천,소,box,348,1.8,"16,000","9,500","14,300",2008.01.03
52,(선)깐굴,통영,소,box,150,1.7,"9,200","9,000","9,100",2008.01.03
53,(선)깐굴,고흥,소,box,126,3.8,"17,000","15,000","16,100",2008.01.03
54,(선)깐굴,마산,2봉,box,20,2.0,"10,000","10,000","10,000",2008.01.03
55,(선)깐굴,통영,소,box,218,1.1,"6,500","5,000","5,800",2008.01.03
56,(선)깐굴,사천,소,box,72,3.7,"27,000","15,000","24,100",2008.01.03
57,(선)깐굴,남해,소,box,35,3.6,"22,500","22,500","22,500",2008.01.03
58,(선)깐굴,남해,소,box,465,1.9,"14,000","7,700","8,500",2008.01.03
59,(선)깐굴,사천,3봉,box,20,3.0,"10,000","9,500","9,800",2008.01.03
60,(선)깐굴,고흥,소,box,30,3.7,"15,500","15,500","15,500",2008.01.03
61,(선)깐굴,남해,소,box,25,2.8,"9,000","9,000","9,000",2008.01.03
62,(선)깐굴,통영,소,box,100,1.2,"6,200","6,200","6,200",2008.01.03
63,(선)깐굴,사천,소,box,95,3.4,"25,000","23,000","23,800",2008.01.03
64,(선)깐굴,남해,소,box,12,3.9,"12,000","12,000","12,000",2008.01.03
65,(선)깐굴,사천,소,box,62,3.8,"25,500","15,000","24,400",2008.01.03
66,(선)깐굴,남해,소,box,29,3.7,"14,000","14,000","14,000",2008.01.03
67,(선)깐굴,사천,3봉,box,145,2.7,"9,500","9,500","9,500",2008.01.03
68,(선)깐굴,사천,소,box,24,3.6,"22,000","22,000","22,000",2008.01.03
69,(선)깐굴,사천,소,box,30,3.5,"17,000","17,000","17,000",2008.01.03
70,(선)깐굴,통영,소,box,146,1.8,"9,200","8,800","9,100",2008.01.03
71,(선)깐굴,남해,소,box,150,3.8,"15,000","11,500","12,900",2008.01.03
72,(선)깐굴,사천,소,box,107,1.9,"15,000","13,500","14,500",2008.01.03
73,(선)깐굴,남해,소,box,198,1.7,"14,500","6,000","11,000",2008.01.03
74,(선)깐굴,통영,소,box,26,2.6,"11,000","11,000","11,000",2008.01.03
75,(선)깐굴,통영,소,box,116,1.6,"9,500","7,000","8,500",2008.01.03
76,(선)깐굴,사천,소,box,147,1.7,"14,600","12,000","13,600",2008.01.03
77,(선)깐굴,통영,소,box,80,2.0,"8,000","8,000","8,000",2008.01.03
78,(활)바위굴,통영,대,box,156,10.0,"11,000","11,000","11,000",2008.01.03
79,(활)바위굴,사천,대,box,97,10.0,"11,500","11,500","11,500",2008.01.03
80,(활)바위굴,마산,대,box,435,10.0,"11,000","7,000","9,700",2008.01.03
81,(선)바위굴,사천,대,box,50,10.0,"14,500","14,500","14,500",2008.01.03
82,(선)바위굴,통영,대,box,65,10.0,"15,000","10,000","13,400",2008.01.03
83,(선)바위굴,마산,대,box,40,10.0,"15,000","14,000","14,500",2008.01.03
84,(가공)봉굴,통영,대,box,47,10.0,"40,000","23,000","29,800",2008.01.03
85,(선)깐굴,사천,소,box,2,2.5,"16,000","16,000","16,000",2008.01.04
86,(선)깐굴,통영,소,box,60,1.5,"8,600","8,600","8,600",2008.01.04
87,(선)깐굴,통영,소,box,64,1.2,"7,000","7,000","7,000",2008.01.04
88,(선)깐굴,사천,소,box,130,3.9,"24,000","24,000","24,000",2008.01.04
89,(선)깐굴,고흥,소,box,97,3.9,"25,000","14,000","15,900",2008.01.04
90,(선)깐굴,남해,소,box,110,2.0,"9,000","9,000","9,000",2008.01.04
91,(선)깐굴,남해,소,box,108,4.0,"15,000","13,000","14,100",2008.01.04
92,(선)깐굴,통영,소,box,39,1.9,"9,500","9,500","9,500",2008.01.04
93,(선)깐굴,사천,소,box,242,1.8,"16,000","12,500","15,200",2008.01.04
94,(선)깐굴,통영,소,box,671,1.7,"10,200","8,800","9,500",2008.01.04
95,(선)깐굴,고흥,소,box,138,3.8,"18,200","16,000","16,500",2008.01.04
96,(선)깐굴,통영,소,box,160,1.1,"6,700","6,700","6,700",2008.01.04
97,(선)깐굴,사천,소,box,176,3.7,"23,000","15,000","22,700",2008.01.04
98,(선)깐굴,남해,소,box,401,1.8,"14,000","7,500","11,800",2008.01.04
99,(선)깐굴,남해,소,box,20,3.5,"12,000","12,000","12,000",2008.01.04
100,(선)깐굴,남해,소,box,139,1.9,"12,000","7,500","8,900",2008.01.04
101,(선)깐굴,사천,소,box,1,2.7,"17,000","17,000","17,000",2008.01.04
102,(선)깐굴,고흥,소,box,50,3.7,"17,500","17,500","17,500",2008.01.04
103,(선)깐굴,남해,소,box,5,3.0,"8,500","8,500","8,500",2008.01.04
104,(선)깐굴,사천,소,box,75,1.7,"14,800","13,300","13,600",2008.01.04
105,(선)깐굴,통영,소,box,233,1.6,"10,500","9,000","9,800",2008.01.04
106,(선)깐굴,남해,소,box,1,2.7,"9,000","9,000","9,000",2008.01.04
107,(선)깐굴,통영,소,box,151,2.5,"13,500","13,500","13,500",2008.01.04
108,(선)깐굴,고흥,소,box,56,4.0,"23,000","17,000","17,400",2008.01.04
109,(선)깐굴,남해,소,box,50,3.3,"18,000","11,500","16,700",2008.01.04
110,(선)깐굴,사천,소,box,26,2.0,"10,000","10,000","10,000",2008.01.04
111,(선)깐굴,통영,소,box,64,2.2,"12,500","12,500","12,500",2008.01.04
112,(선)깐굴,남해,소,box,213,3.9,"13,600","12,000","12,900",2008.01.04
113,(선)깐굴,사천,소,box,63,3.8,"26,000","25,000","25,100",2008.01.04
114,(선)깐굴,남해,소,box,30,3.7,"13,500","13,500","13,500",2008.01.04
115,(선)깐굴,사천,소,box,116,3.6,"27,000","22,000","24,400",2008.01.04
116,(선)깐굴,통영,소,box,500,1.8,"10,500","9,000","9,800",2008.01.04
117,(선)깐굴,남해,소,box,154,3.8,"22,000","12,500","13,200",2008.01.04
118,(선)깐굴,사천,소,box,45,1.9,"15,500","15,000","15,400",2008.01.04
119,(선)깐굴,사천,소,box,15,2.8,"17,000","17,000","17,000",2008.01.04
120,(선)깐굴,통영,소,box,200,1.0,"7,000","6,700","6,900",2008.01.04
121,(활)바위굴,통영,대,box,137,10.0,"11,000","11,000","11,000",2008.01.04
122,(활)바위굴,사천,대,box,60,10.0,"11,500","11,500","11,500",2008.01.04
123,(활)바위굴,마산,대,box,456,10.0,"10,000","8,000","9,600",2008.01.04
124,(선)바위굴,남해,대,box,10,10.0,"15,000","15,000","15,000",2008.01.04
125,(선)바위굴,사천,대,box,40,10.0,"14,500","14,500","14,500",2008.01.04
126,(선)바위굴,통영,대,box,20,10.0,"12,000","12,000","12,000",2008.01.04
127,(가공)봉굴,사천,대,box,5,10.0,"25,000","25,000","25,000",2008.01.04
128,(가공)염굴비,중국,중,CT/(BT),10,5.0,"50,000","50,000","50,000",2008.01.04
129,(가공)염굴비,중국,소,CT/(BT),18,5.0,"30,000","30,000","30,000",2008.01.04
130,(선)깐굴,통영,소,box,165,2.5,"11,500","11,500","11,500",2008.01.05
131,(선)깐굴,고흥,소,box,96,3.9,"14,000","13,000","13,400",2008.01.05
132,(선)깐굴,남해,소,box,166,2.0,"8,000","7,000","7,600",2008.01.05
133,(선)깐굴,남해,소,box,68,4.0,"11,500","11,500","11,500",2008.01.05
134,(선)깐굴,통영,소,box,100,1.9,"8,600","8,600","8,600",2008.01.05
135,(선)깐굴,사천,소,box,127,1.8,"16,000","10,000","14,600",2008.01.05
136,(선)깐굴,통영,소,box,"1,321",1.7,"9,000","8,000","8,700",2008.01.05
137,(선)깐굴,고흥,소,box,178,3.8,"25,000","12,500","13,800",2008.01.05
138,(선)깐굴,통영,소,box,296,1.1,"6,200","5,700","6,000",2008.01.05
139,(선)깐굴,사천,소,box,243,3.7,"22,500","16,000","21,300",2008.01.05
140,(선)깐굴,남해,소,box,129,1.8,"12,500","7,000","11,500",2008.01.05
141,(선)깐굴,남해,소,box,18,3.2,"20,000","20,000","20,000",2008.01.05
142,(선)깐굴,남해,소,box,24,3.5,"15,000","15,000","15,000",2008.01.05
143,(선)깐굴,남해,소,box,321,1.9,"8,000","7,500","7,900",2008.01.05
144,(선)깐굴,남해,소,box,6,3.1,"8,000","8,000","8,000",2008.01.05
145,(선)깐굴,사천,소,box,27,2.7,"16,000","16,000","16,000",2008.01.05
146,(선)깐굴,고흥,소,box,260,3.7,"14,500","13,000","13,200",2008.01.05
147,(선)깐굴,남해,소,box,20,2.8,"10,000","10,000","10,000",2008.01.05
148,(선)깐굴,통영,소,box,100,2.0,"8,000","8,000","8,000",2008.01.05
149,(선)깐굴,남해,소,box,20,3.0,"17,000","17,000","17,000",2008.01.05
150,(선)깐굴,통영,소,box,721,1.2,"5,500","5,400","5,500",2008.01.05
151,(선)깐굴,통영,소,box,202,1.5,"8,000","8,000","8,000",2008.01.05
152,(선)깐굴,사천,소,box,209,1.7,"15,500","11,200","13,700",2008.01.05
153,(선)깐굴,고흥,소,box,55,4.0,"15,000","12,000","13,100",2008.01.05
154,(선)깐굴,고흥,소,box,23,3.5,"13,000","13,000","13,000",2008.01.05
155,(선)깐굴,통영,소,box,88,2.2,"11,500","11,500","11,500",2008.01.05
156,(선)깐굴,남해,소,box,183,3.9,"14,000","11,000","12,000",2008.01.05
157,(선)깐굴,사천,소,box,112,3.8,"25,000","20,000","24,000",2008.01.05
158,(선)깐굴,남해,소,box,197,3.7,"11,500","11,500","11,500",2008.01.05
159,(선)깐굴,사천,소,box,166,3.6,"25,000","20,000","21,600",2008.01.05
160,(선)깐굴,사천,소,box,50,3.5,"20,500","20,500","20,500",2008.01.05
161,(선)깐굴,통영,소,box,"1,217",1.8,"9,200","8,300","8,900",2008.01.05
162,(선)깐굴,남해,소,box,159,3.8,"15,000","10,500","11,900",2008.01.05
163,(선)깐굴,사천,소,box,191,1.9,"13,500","8,000","11,000",2008.01.05
164,(선)깐굴,남해,소,box,168,1.7,"12,700","12,700","12,700",2008.01.05
165,(선)깐굴,통영,소,box,159,2.6,"12,500","12,500","12,500",2008.01.05
166,(선)깐굴,통영,소,box,171,1.0,"5,800","5,200","5,600",2008.01.05
167,(선)깐굴,남해,소,box,120,2.7,"11,000","11,000","11,000",2008.01.05
168,(선)깐굴,통영,소,box,356,1.6,"9,000","8,300","8,600",2008.01.05
169,(활)바위굴,사천,대,box,71,10.0,"11,500","11,500","11,500",2008.01.05
170,(활)바위굴,통영,대,box,171,10.0,"11,000","11,000","11,000",2008.01.05
171,(활)바위굴,마산,대,box,428,10.0,"10,000","7,000","9,500",2008.01.05
172,(선)바위굴,사천,대,box,38,10.0,"15,000","14,500","14,600",2008.01.05
173,(선)바위굴,통영,대,box,45,10.0,"15,000","10,000","11,900",2008.01.05
174,(선)바위굴,마산,대,box,10,10.0,"14,000","14,000","14,000",2008.01.05
175,(가공)봉굴,통영,대,box,37,10.0,"40,000","23,000","29,300",2008.01.05
176,(가공)봉굴,사천,대,box,10,10.0,"25,000","25,000","25,000",2008.01.05
177,(선)깐굴,통영,소,box,142,2.5,"10,300","10,300","10,300",2008.01.07
178,(선)깐굴,통영,소,box,144,1.5,"5,500","5,500","5,500",2008.01.07
179,(선)깐굴,사천,소,box,107,4.0,"21,000","21,000","21,000",2008.01.07
180,(선)깐굴,통영,소,box,363,1.2,"7,500","3,600","5,600",2008.01.07
181,(선)깐굴,사천,소,box,80,3.9,"22,500","12,000","21,200",2008.01.07
182,(선)깐굴,고흥,소,box,45,3.9,"22,000","13,500","16,300",2008.01.07
183,(선)깐굴,남해,소,box,206,4.0,"9,500","9,000","9,100",2008.01.07
184,(선)깐굴,통영,소,box,42,1.9,"8,200","8,200","8,200",2008.01.07
185,(선)깐굴,사천,소,box,1,1.5,"6,000","6,000","6,000",2008.01.07
186,(선)깐굴,사천,소,box,155,1.8,"15,000","12,000","14,400",2008.01.07
187,(선)깐굴,통영,소,box,"1,778",1.7,"8,000","6,300","7,200",2008.01.07
188,(선)깐굴,고흥,소,box,41,3.8,"15,000","14,500","14,900",2008.01.07
189,(선)깐굴,통영,소,box,250,1.1,"5,200","5,000","5,000",2008.01.07
190,(선)깐굴,사천,소,box,156,3.7,"23,000","22,000","22,900",2008.01.07
191,(선)깐굴,통영,소,box,150,1.3,"5,000","5,000","5,000",2008.01.07
192,(선)깐굴,남해,소,box,447,1.8,"13,000","6,000","7,100",2008.01.07
193,(선)깐굴,남해,소,box,53,3.5,"22,000","11,500","14,100",2008.01.07
194,(선)깐굴,남해,소,box,59,3.6,"10,500","10,000","10,200",2008.01.07
195,(선)깐굴,삼천포,소,box,70,1.7,"15,000","15,000","15,000",2008.01.07
196,(선)깐굴,남해,소,box,357,1.9,"12,700","6,000","8,400",2008.01.07
197,(선)깐굴,삼천포,소,box,7,3.5,"20,000","20,000","20,000",2008.01.07
198,(선)깐굴,남해,소,box,50,2.8,"9,000","9,000","9,000",2008.01.07
199,(선)깐굴,통영,소,box,150,2.0,"8,000","7,200","7,500",2008.01.07
200,(선)깐굴,남해,소,box,1,1.1,"4,000","4,000","4,000",2008.01.07
201,(선)깐굴,남해,소,box,11,3.0,"7,500","7,500","7,500",2008.01.07
202,(선)깐굴,사천,소,box,246,1.7,"12,000","10,000","10,700",2008.01.07
203,(선)깐굴,통영,소,box,"1,005",1.6,"7,500","6,200","7,200",2008.01.07
204,(선)깐굴,고흥,소,box,112,4.0,"24,000","10,000","13,500",2008.01.07
205,(선)깐굴,남해,소,box,191,3.3,"12,500","12,500","12,500",2008.01.07
206,(선)깐굴,사천,소,box,58,2.0,"11,000","7,500","8,100",2008.01.07
207,(선)깐굴,남해,소,box,214,3.9,"11,000","8,000","10,300",2008.01.07
208,(선)깐굴,사천,소,box,178,3.8,"22,000","15,000","19,800",2008.01.07
209,(선)깐굴,통영,소,box,256,2.3,"9,300","9,000","9,200",2008.01.07
210,(선)깐굴,남해,소,box,338,3.7,"13,000","9,000","10,600",2008.01.07
211,(선)깐굴,사천,소,box,4,1.6,"11,000","11,000","11,000",2008.01.07
212,(선)깐굴,사천,소,box,170,3.6,"23,000","22,000","22,600",2008.01.07
213,(선)깐굴,남해,소,box,130,2.9,"8,000","8,000","8,000",2008.01.07
214,(선)깐굴,사천,소,box,30,3.5,"23,000","23,000","23,000",2008.01.07
215,(선)깐굴,남해,소,box,111,1.6,"12,300","12,300","12,300",2008.01.07
216,(선)깐굴,통영,소,box,755,1.8,"7,500","7,200","7,200",2008.01.07
217,(선)깐굴,남해,소,box,207,3.8,"10,200","9,000","9,700",2008.01.07
218,(선)깐굴,마산,소,box,1,5.0,"18,000","18,000","18,000",2008.01.07
219,(선)깐굴,통영,소,box,403,1.0,"5,200","4,300","4,700",2008.01.07
220,(선)깐굴,사천,소,box,101,1.9,"12,500","12,500","12,500",2008.01.07
221,(선)깐굴,삼천포,소,box,2,3.4,"9,000","9,000","9,000",2008.01.07
222,(선)깐굴,사천,소,box,32,2.2,"10,000","10,000","10,000",2008.01.07
223,(선)깐굴,사천,소,box,14,2.8,"13,000","13,000","13,000",2008.01.07
224,(활)바위굴,통영,대,box,147,10.0,"11,000","10,000","11,000",2008.01.07
225,(활)바위굴,사천,대,box,50,10.0,"11,500","11,500","11,500",2008.01.07
226,(활)바위굴,남해,대,box,2,10.0,"8,000","8,000","8,000",2008.01.07
227,(활)바위굴,마산,대,box,530,10.0,"10,000","7,000","9,800",2008.01.07
228,(선)바위굴,남해,대,box,10,10.0,"15,000","15,000","15,000",2008.01.07
