,어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,일시
0,(활)전복,완도,11/12미,kg,99.5,1,"27,000","25,000","26,000",2021.01.02
1,(활)전복,완도,8/9미,kg,109.9,1,"44,000","37,000","39,400",2021.01.02
2,(활)전복,완도,12미,kg,10.0,1,"40,000","40,000","40,000",2021.01.02
3,(활)전복,완도,중,kg,296.2,1,"45,000","13,000","16,100",2021.01.02
4,(활)전복,완도,6/7미,kg,21.5,1,"46,000","46,000","46,000",2021.01.02
5,(활)전복,완도,17/18미,kg,46.1,1,"22,000","22,000","22,000",2021.01.02
6,(활)전복,완도,14/15미,kg,82.0,1,"24,000","23,000","23,700",2021.01.02
7,(활)전복,완도,9/10미,kg,111.0,1,"559,200","31,000","36,800",2021.01.02
8,(활)전복,완도,13/14미,kg,33.5,1,"25,000","21,000","23,300",2021.01.02
9,(활)전복,완도,30미,kg,45.0,1,"17,000","16,000","16,800",2021.01.02
10,(활)전복,완도,16/17미,kg,34.2,1,"22,000","22,000","22,000",2021.01.02
11,(활)전복,완도,5/6미,kg,23.2,1,"52,000","52,000","52,000",2021.01.02
12,(활)전복,완도,12/13미,kg,57.4,1,"26,000","24,000","25,400",2021.01.02
13,(활)전복,완도,15/16미,kg,69.1,1,"23,000","23,000","23,000",2021.01.02
14,(활)전복,완도,19/20미,kg,44.7,1,"22,000","22,000","22,000",2021.01.02
15,(활)전복,완도,7/8미,kg,47.2,1,"53,000","45,000","47,200",2021.01.02
16,(활)전복,완도,10미,kg,11.7,1,"25,000","25,000","25,000",2021.01.02
17,(활)전복,완도,10/11미,kg,100.6,1,"29,000","27,000","27,700",2021.01.02
18,(선)전복,완도,중,kg,4.2,1,"8,000","8,000","8,000",2021.01.02
0,(활)전복,완도,11/12미,kg,149.0,1,"26,000","24,000","25,500",2021.01.04
1,(활)전복,완도,8/9미,kg,88.9,1,"52,000","22,000","36,200",2021.01.04
2,(활)전복,완도,35/40미,kg,34.0,1,"10,000","10,000","10,000",2021.01.04
3,(활)전복,완도,16미,kg,34.7,1,"20,000","20,000","20,000",2021.01.04
4,(활)전복,완도,18/19미,kg,34.9,1,"19,000","19,000","19,000",2021.01.04
5,(활)전복,완도,20/21미,kg,11.6,1,"20,000","20,000","20,000",2021.01.04
6,(활)전복,완도,25미,kg,56.3,1,"17,000","12,000","13,000",2021.01.04
7,(활)전복,완도,17/18미,kg,217.6,1,"21,000","18,000","19,800",2021.01.04
8,(활)전복,완도,14/15미,kg,115.7,1,"24,000","22,000","23,200",2021.01.04
9,(활)전복,완도,9/10미,kg,68.0,1,"32,000","28,000","31,300",2021.01.04
10,(활)전복,완도,13/14미,kg,35.0,1,"23,000","23,000","23,000",2021.01.04
11,(활)전복,완도,30미,kg,19.6,1,"16,000","15,000","15,500",2021.01.04
12,(활)전복,완도,16/17미,kg,79.3,1,"21,000","17,000","19,000",2021.01.04
13,(활)전복,완도,8미,kg,23.1,1,"40,000","40,000","40,000",2021.01.04
14,(활)전복,완도,33미,kg,46.9,1,"13,000","13,000","13,000",2021.01.04
