,어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,일시
0,(선)깐굴,통영,소,box,36,2.1,"18,600","18,600","18,600",2017.01.02
1,(선)깐굴,삼천포,소,box,10,2.0,"21,200","21,200","21,200",2017.01.02
2,(선)깐굴,통영,소,box,60,1.5,"15,100","15,000","15,100",2017.01.02
3,(선)깐굴,마산,소,box,75,1.3,"13,800","13,500","13,600",2017.01.02
4,(선)깐굴,통영,소,box,30,1.2,"14,100","14,100","14,100",2017.01.02
5,(선)깐굴,통영,소,box,430,1.9,"25,000","18,200","20,600",2017.01.02
6,(선)깐굴,통영,소,box,13,1.7,"18,500","18,500","18,500",2017.01.02
7,(선)깐굴,통영,소,box,380,1.3,"15,200","14,000","14,700",2017.01.02
8,(선)깐굴,삼천포,소,box,150,3.9,"35,000","33,700","34,000",2017.01.02
9,(선)깐굴,통영,소,box,50,1.4,"15,000","15,000","15,000",2017.01.02
10,(선)깐굴,삼천포,소,box,177,3.0,"23,000","20,000","21,100",2017.01.02
11,(선)깐굴,사천,소,box,132,2.7,"25,000","24,000","24,600",2017.01.02
12,(선)깐굴,삼천포,소,box,20,1.8,"22,200","22,200","22,200",2017.01.02
13,(선)깐굴,삼천포,소,box,10,3.5,"30,000","30,000","30,000",2017.01.02
14,(선)깐굴,통영,소,box,124,2.0,"20,200","19,000","19,200",2017.01.02
15,(선)깐굴,남해,소,box,30,3.0,"25,500","25,500","25,500",2017.01.02
16,(선)깐굴,통영,소,box,18,1.6,"15,500","15,500","15,500",2017.01.02
17,(선)깐굴,남해,소,box,120,2.7,"20,700","20,700","20,700",2017.01.02
18,(선)깐굴,통영,소,box,40,2.9,"25,700","25,700","25,700",2017.01.02
19,(선)깐굴,남해,소,box,250,3.3,"26,000","25,400","25,600",2017.01.02
20,(선)깐굴,사천,소,box,663,2.0,"26,500","23,300","25,300",2017.01.02
21,(선)깐굴,통영,소,box,76,2.3,"23,000","21,300","21,700",2017.01.02
22,(선)깐굴,남해,소,box,144,2.9,"26,000","25,000","25,700",2017.01.02
23,(선)깐굴,사천,소,box,576,2.9,"26,000","24,100","24,500",2017.01.02
24,(선)깐굴,통영,소,box,210,1.8,"18,500","17,000","17,400",2017.01.02
25,(선)깐굴,사천,소,box,326,3.0,"25,100","24,500","24,700",2017.01.02
26,(선)깐굴,사천,소,box,247,1.9,"23,100","22,800","22,900",2017.01.02
27,(선)깐굴,사천,소,box,170,2.2,"23,000","23,000","23,000",2017.01.02
28,(선)깐굴,통영,소,box,100,2.6,"25,200","25,000","25,100",2017.01.02
29,(선)깐굴,통영,중,S/P,5,2.0,"40,000","40,000","40,000",2017.01.02
30,(선)깐굴,사천,소,box,549,2.8,"26,000","24,500","25,200",2017.01.02
