,어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,일시
0,(선)삼치,제주도,10미,S/P,11.0,8.0,"45,000","45,000","45,000",2019.01.02
1,(선)삼치,제주도,중,S/P,9.5,1.0,"23,000","23,000","23,000",2019.01.02
2,(선)삼치,제주도,중,S/P,5.0,10.0,"60,000","60,000","60,000",2019.01.02
3,(선)삼치,감포,10미,S/P,4.0,13.0,"20,000","20,000","20,000",2019.01.02
4,(선)삼치,감포,중,S/P,103.9,1.0,"6,000","3,700","4,100",2019.01.02
5,(선)삼치,축산,중,S/P,1.0,20.0,"60,000","60,000","60,000",2019.01.02
6,(선)삼치,부산(기장),10미,S/P,560.0,10.0,"28,000","20,000","27,100",2019.01.02
7,(선)삼치,제주도,8미,S/P,1.0,7.0,"45,000","45,000","45,000",2019.01.02
8,(선)삼치,포항,중,S/P,7.4,1.0,"7,000","7,000","7,000",2019.01.02
9,(선)삼치,감포,중,S/P,15.0,20.0,"110,000","100,000","108,700",2019.01.02
10,(선)삼치,제주도,9미,S/P,7.0,8.0,"45,000","45,000","45,000",2019.01.02
11,(선)삼치,제주도,3미,S/P,1.0,10.5,"63,000","63,000","63,000",2019.01.03
12,(선)삼치,거제도,7미,S/P,3.0,13.0,"20,000","20,000","20,000",2019.01.03
13,(선)삼치,삼천포,중,S/P,86.0,13.0,"20,000","20,000","20,000",2019.01.03
14,(선)삼치,제주도,중,S/P,31.0,18.0,"20,000","20,000","20,000",2019.01.03
15,(선)삼치,제주도,3미,S/P,1.0,10.1,"60,600","60,600","60,600",2019.01.03
16,(선)삼치,여수,8미,S/P,47.0,13.0,"30,000","18,000","20,600",2019.01.03
17,(선)삼치,부산(기장),8미,S/P,540.0,13.0,"30,000","22,000","24,600",2019.01.03
18,(선)삼치,여수,5미,S/P,1.0,13.0,"30,000","30,000","30,000",2019.01.03
19,(선)삼치,부산(기장),4미,S/P,2.0,13.0,"20,000","20,000","20,000",2019.01.03
20,(선)삼치,거제도,10미,S/P,7.0,13.0,"20,000","20,000","20,000",2019.01.03
21,(선)삼치,제주도,중,S/P,3.0,20.0,"100,000","100,000","100,000",2019.01.03
22,(선)삼치,제주도,4미,S/P,8.0,10.5,"60,000","60,000","60,000",2019.01.03
23,(선)삼치,삼천포,8미,S/P,28.0,13.0,"22,000","22,000","22,000",2019.01.03
24,(선)삼치,제주도,중,S/P,3.0,13.0,"16,000","16,000","16,000",2019.01.03
25,(선)삼치,제주도,4미,S/P,5.0,10.0,"55,000","55,000","55,000",2019.01.03
26,(선)삼치,포항,중,S/P,7.0,20.0,"100,000","100,000","100,000",2019.01.03
27,(선)삼치,제주도,13미,S/P,1.0,10.0,"40,000","40,000","40,000",2019.01.03
28,(선)삼치,부산(기장),중,S/P,8.0,20.0,"120,000","120,000","120,000",2019.01.03
29,(선)삼치,부산(기장),10미,S/P,22.0,13.0,"20,000","15,000","18,000",2019.01.03
30,(선)삼치,제주도,6미,S/P,1.0,10.0,"50,000","50,000","50,000",2019.01.03
31,(선)삼치,제주도,10미,S/P,8.0,8.0,"38,000","38,000","38,000",2019.01.03
32,(선)삼치,제주도,3미,S/P,1.0,10.4,"62,400","62,400","62,400",2019.01.03
33,(선)삼치,제주도,3미,S/P,14.0,10.0,"60,000","57,000","58,300",2019.01.03
34,(선)삼치,삼천포,중,S/P,10.0,10.0,"15,000","15,000","15,000",2019.01.03
35,(선)삼치,제주도,중,S/P,6.0,10.0,"35,000","35,000","35,000",2019.01.03
36,(선)삼치,통영,중,S/P,22.4,1.0,"2,000","2,000","2,000",2019.01.03
37,(선)삼치,제주도,3미,S/P,1.0,11.3,"79,100","79,100","79,100",2019.01.03
38,(선)삼치,삼천포,10미,S/P,45.0,13.0,"22,000","22,000","22,000",2019.01.03
39,(선)삼치,제주도,11미,S/P,1.0,9.0,"40,000","40,000","40,000",2019.01.03
40,(선)삼치,제주도,3미,S/P,2.0,11.0,"66,000","66,000","66,000",2019.01.03
41,(선)삼치,부산(기장),중,S/P,8.4,1.0,"1,000","1,000","1,000",2019.01.03
42,(선)삼치,제주도,4미,S/P,1.0,12.0,"72,000","72,000","72,000",2019.01.03
43,(선)삼치,제주도,중,S/P,9.0,25.0,"80,000","80,000","80,000",2019.01.03
44,(선)삼치,제주도,중,S/P,5.0,30.0,"68,000","68,000","68,000",2019.01.03
45,(선)삼치,통영,중,S/P,41.0,13.0,"20,000","10,000","10,200",2019.01.03
46,(선)줄삼치,부산(기장),4미,S/P,61.0,13.0,"10,000","10,000","10,000",2019.01.03
47,(선)삼치,통영,6미,S/P,1.0,13.0,"25,000","25,000","25,000",2019.01.04
48,(선)삼치,여수,8미,c/s(상자),6.0,13.0,"25,000","25,000","25,000",2019.01.04
49,(선)삼치,제주도,4미,S/P,1.0,9.0,"45,000","45,000","45,000",2019.01.04
50,(선)삼치,삼천포,8미,S/P,122.0,13.0,"25,000","23,000","25,000",2019.01.04
51,(선)삼치,제주도,3미,S/P,1.0,9.0,"72,000","72,000","72,000",2019.01.04
52,(선)삼치,삼천포,6미,S/P,8.5,1.0,"4,000","4,000","4,000",2019.01.04
53,(선)삼치,부산(기장),8미,S/P,741.0,13.0,"25,000","22,000","23,000",2019.01.04
54,(선)삼치,제주도,중,S/P,13.0,18.0,"20,000","20,000","20,000",2019.01.04
55,(선)삼치,부산(기장),10미,S/P,10.0,13.0,"20,000","15,000","15,500",2019.01.04
56,(선)삼치,제주도,중,S/P,7.0,30.0,"90,000","90,000","90,000",2019.01.04
57,(선)삼치,제주도,3미,S/P,1.0,12.0,"96,000","96,000","96,000",2019.01.04
58,(선)삼치,제주도,4미,S/P,1.0,14.0,"112,000","112,000","112,000",2019.01.04
59,(선)삼치,통영,8미,S/P,11.0,13.0,"27,000","27,000","27,000",2019.01.04
60,(선)삼치,삼천포,10미,S/P,111.0,13.0,"20,000","18,000","19,800",2019.01.04
61,(선)삼치,여수,중,c/s(상자),46.0,13.0,"30,000","30,000","30,000",2019.01.04
62,(선)삼치,삼천포,5미,S/P,112.0,13.0,"22,000","20,000","20,900",2019.01.04
63,(선)삼치,제주도,3미,S/P,1.0,10.0,"80,000","80,000","80,000",2019.01.04
64,(선)삼치,통영,중,S/P,59.0,13.0,"8,000","8,000","8,000",2019.01.04
65,(선)줄삼치,부산(기장),중,S/P,19.0,13.0,"10,000","10,000","10,000",2019.01.04
66,(선)줄삼치,제주도,중,S/P,1.0,12.5,"25,000","25,000","25,000",2019.01.04
67,(선)삼치,제주도,중,S/P,1.0,23.0,"70,000","70,000","70,000",2019.01.05
68,(선)삼치,제주도,3미,S/P,1.0,11.9,"95,200","95,200","95,200",2019.01.05
69,(선)삼치,제주도,중,S/P,5.0,13.0,"20,000","20,000","20,000",2019.01.05
70,(선)삼치,포항,중,S/P,1.0,7.5,"30,000","30,000","30,000",2019.01.05
71,(선)삼치,부산(기장),8미,S/P,70.0,13.0,"27,000","27,000","27,000",2019.01.05
72,(선)삼치,제주도,4미,S/P,1.0,11.3,"79,100","79,100","79,100",2019.01.05
73,(선)삼치,부산(기장),10미,S/P,1.0,13.0,"20,000","20,000","20,000",2019.01.05
74,(선)삼치,제주도,3미,S/P,1.0,10.8,"75,600","75,600","75,600",2019.01.05
75,(선)삼치,부산(기장),중,S/P,28.8,1.0,"8,000","5,000","6,600",2019.01.05
76,(선)삼치,제주도,3미,S/P,1.0,11.2,"78,400","78,400","78,400",2019.01.05
77,(선)삼치,여수,중,c/s(상자),45.0,13.0,"25,000","25,000","25,000",2019.01.05
78,(선)삼치,제주도,5미,S/P,1.0,10.8,"70,200","70,200","70,200",2019.01.05
79,(선)삼치,제주도,5미,S/P,1.0,10.6,"68,900","68,900","68,900",2019.01.05
