,어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,일시
0,(활)말전복,서산,중,kg,9.6,1,"30,000","30,000","30,000",2006.03.15
1,(활)말전복,완도,중,kg,833.4,1,"95,000","26,000","35,200",2006.03.15
2,(활)전복,서산,중,kg,27.2,1,"85,000","30,000","45,200",2006.03.21
3,(활)전복,완도,중,kg,846.9,1,"80,000","22,000","32,700",2006.03.21
4,(활)전복,서산,중,kg,34.7,1,"115,000","30,000","68,600",2006.03.22
5,(활)전복,완도,중,kg,787.5,1,"52,000","23,000","31,800",2006.03.22
6,(활)전복,완도,22미,kg,52.5,1,"32,000","30,000","30,200",2006.03.23
7,(활)전복,서산,중,kg,16.2,1,"110,000","30,000","62,000",2006.03.23
8,(활)전복,완도,중,kg,684.7,1,"127,000","23,000","33,700",2006.03.23
9,(활)전복,완도,중,kg,818.6,1,"55,000","26,000","33,300",2006.03.24
10,(활)전복,서산,중,kg,40.1,1,"30,000","30,000","30,000",2006.03.25
11,(활)전복,완도,중,kg,"1,890.2",1,"55,000","24,000","31,600",2006.03.25
12,(활)전복,일본,중,kg,14.3,1,"57,000","57,000","57,000",2006.03.27
13,(활)전복,서산,중,kg,36.1,1,"137,000","30,000","61,400",2006.03.27
14,(활)전복,완도,중,kg,858.5,1,"55,000","17,000","33,600",2006.03.27
15,(활)전복,서산,중,kg,20.7,1,"95,000","30,000","66,000",2006.03.28
16,(활)전복,완도,중,kg,908.1,1,"55,000","22,000","32,500",2006.03.28
17,(활)전복,완도,중,kg,726.5,1,"90,000","23,000","33,800",2006.03.29
18,(활)전복,제주도,중,kg,6.0,1,"122,000","50,000","89,800",2006.03.30
19,(활)전복,완도,중,kg,794.5,1,"115,000","21,000","35,500",2006.03.30
20,(활)전복,서산,중,kg,27.1,1,"127,000","30,000","88,500",2006.03.31
21,(활)전복,완도,중,kg,889.1,1,"56,000","24,000","34,800",2006.03.31
22,(활)전복,서산,중,kg,23.9,1,"77,000","30,000","61,200",2006.04.01
23,(활)전복,완도,중,kg,"1,820.1",1,"52,000","24,000","31,600",2006.04.01
24,(활)전복,서산,중,kg,55.7,1,"130,000","30,000","77,000",2006.04.03
25,(활)전복,완도,중,kg,777.6,1,"55,000","23,000","34,800",2006.04.03
26,(활)전복,서산,중,kg,8.5,1,"135,000","86,000","108,500",2006.04.04
27,(활)전복,완도,중,kg,"1,210.4",1,"59,000","24,000","33,500",2006.04.04
28,(활)전복,서산,중,kg,31.4,1,"100,000","65,000","75,300",2006.04.05
29,(활)전복,완도,중,kg,929.5,1,"53,000","24,000","32,100",2006.04.05
30,(활)전복,완도,중,kg,767.8,1,"48,000","23,000","32,800",2006.04.06
31,(활)전복,서산,중,kg,7.0,1,"116,000","115,000","115,400",2006.04.07
32,(활)전복,완도,중,kg,872.8,1,"55,000","26,000","32,800",2006.04.07
33,(활)전복,서산,중,kg,2.7,1,"135,000","135,000","135,000",2006.04.08
34,(활)전복,완도,중,kg,"1,430.6",1,"50,000","26,000","31,800",2006.04.08
35,(활)전복,서산,중,kg,18.1,1,"127,000","50,000","84,000",2006.04.10
36,(활)전복,완도,중,kg,791.9,1,"135,000","24,000","36,600",2006.04.10
37,(활)전복,서산,중,kg,9.0,1,"85,000","30,000","64,800",2006.04.11
38,(활)전복,완도,중,kg,848.4,1,"85,000","25,000","32,700",2006.04.11
39,(활)전복,서산,중,kg,38.8,1,"133,000","25,000","78,000",2006.04.12
40,(활)전복,완도,중,kg,838.1,1,"47,000","27,000","33,300",2006.04.12
41,(활)전복,완도,중,kg,"1,007.1",1,"115,000","25,000","33,200",2006.04.13
42,(활)전복,서산,중,kg,33.6,1,"130,000","30,000","90,900",2006.04.14
43,(활)전복,완도,중,kg,881.3,1,"114,000","25,000","35,700",2006.04.14
44,(활)전복,서산,중,kg,9.3,1,"90,000","87,000","88,600",2006.04.15
45,(활)전복,완도,중,kg,"1,637.3",1,"53,000","26,000","32,700",2006.04.15
46,(활)전복,서산,중,kg,13.1,1,"80,000","30,000","59,800",2006.04.17
47,(활)전복,완도,중,kg,"1,039.6",1,"53,000","13,000","32,700",2006.04.17
48,(활)전복,완도,중,kg,925.9,1,"53,000","21,000","32,600",2006.04.18
49,(활)전복,서산,중,kg,6.2,1,"140,000","140,000","140,000",2006.04.19
50,(활)전복,완도,중,kg,855.0,1,"54,000","15,000","32,600",2006.04.19
51,(활)전복,서산,중,kg,10.1,1,"120,000","30,000","65,600",2006.04.20
52,(활)전복,완도,중,kg,902.4,1,"53,000","19,000","30,000",2006.04.20
53,(활)전복,완도,중,kg,831.1,1,"54,000","23,000","31,300",2006.04.21
54,(활)전복,완도,11/12미,kg,198.8,1,"31,000","25,000","27,400",2006.04.22
55,(활)전복,완도,12/13미,kg,32.4,1,"29,000","27,000","27,900",2006.04.22
56,(활)전복,완도,5/6미,kg,32.2,1,"30,000","30,000","30,000",2006.04.22
57,(활)전복,완도,13/14미,kg,20,1,"27,000","27,000","27,000",2006.04.22
58,(활)전복,완도,9/10미,kg,46.5,1,"33,000","30,000","31,400",2006.04.22
59,(활)전복,서산,중,kg,21.7,1,"137,000","30,000","91,100",2006.04.22
60,(활)전복,완도,중,kg,"1,277",1,"69,000","15,000","31,900",2006.04.22
61,(활)전복,완도,8/9미,kg,40.5,1,"37,000","35,000","35,600",2006.04.22
62,(활)전복,완도,11/12미,kg,33.9,1,"30,000","29,000","29,600",2006.04.24
63,(활)전복,완도,7/8미,kg,32.5,1,"40,000","38,000","39,500",2006.04.24
64,(활)전복,완도,12/13미,kg,68.4,1,"28,000","27,000","27,900",2006.04.24
65,(활)전복,완도,5/6미,kg,35.2,1,"53,000","30,000","46,400",2006.04.24
66,(활)전복,완도,13/14미,kg,33.6,1,"29,000","28,000","28,400",2006.04.24
67,(활)전복,완도,9/10미,kg,44.7,1,"33,000","30,000","31,500",2006.04.24
68,(활)전복,완도,6/7미,kg,11.4,1,"46,000","44,000","45,000",2006.04.24
69,(활)전복,서산,중,kg,46.8,1,"142,000","30,000","42,400",2006.04.24
70,(활)전복,완도,중,kg,498.2,1,"55,000","25,000","31,700",2006.04.24
71,(활)전복,완도,8/9미,kg,56.0,1,"36,000","30,000","34,400",2006.04.24
72,(활)전복,완도,10/11미,kg,87.4,1,"31,000","28,000","29,100",2006.04.24
73,(활)전복,완도,05미,kg,11.3,1,"50,000","30,000","39,400",2006.04.25
74,(활)전복,완도,8/9미,kg,162.5,1,"35,000","29,000","30,000",2006.04.25
75,(활)전복,완도,16미,kg,22.6,1,"30,000","24,000","26,100",2006.04.25
76,(활)전복,서산,중,kg,9.0,1,"82,000","30,000","57,700",2006.04.25
77,(활)전복,완도,18/19미,kg,11.0,1,"30,000","30,000","30,000",2006.04.25
78,(활)전복,완도,6/7미,kg,33.2,1,"41,000","30,000","31,900",2006.04.25
79,(활)전복,완도,14/15미,kg,148.0,1,"30,000","28,000","29,800",2006.04.25
80,(활)전복,완도,9/10미,kg,69.1,1,"33,000","30,000","31,000",2006.04.25
81,(활)전복,완도,13/14미,kg,16.1,1,"30,000","25,000","26,600",2006.04.25
82,(활)전복,완도,5/6미,kg,18.3,1,"47,000","30,000","34,600",2006.04.25
83,(활)전복,완도,12/13미,kg,156.6,1,"45,000","26,000","29,500",2006.04.25
84,(활)전복,완도,07미,kg,22.7,1,"30,000","30,000","30,000",2006.04.25
85,(활)전복,완도,7/8미,kg,33.3,1,"47,000","30,000","37,200",2006.04.25
86,(활)전복,서산,5/6미,kg,14.7,1,"135,000","30,000","77,900",2006.04.25
87,(활)전복,완도,11/12미,kg,51.6,1,"31,000","30,000","30,100",2006.04.25
88,(활)전복,완도,10/11미,kg,172.3,1,"34,000","26,000","28,300",2006.04.25
89,(활)전복,완도,05미,kg,11.1,1,"52,000","52,000","52,000",2006.04.26
90,(활)전복,완도,8/9미,kg,76.7,1,"36,000","30,000","32,200",2006.04.26
91,(활)전복,완도,18/19미,kg,10.2,1,"30,000","30,000","30,000",2006.04.26
92,(활)전복,완도,6/7미,kg,26.9,1,"48,000","30,000","32,600",2006.04.26
93,(활)전복,완도,14/15미,kg,30.5,1,"30,000","28,000","29,100",2006.04.26
94,(활)전복,완도,9/10미,kg,67.2,1,"33,000","30,000","32,200",2006.04.26
95,(활)전복,완도,13/14미,kg,22.1,1,"28,000","28,000","28,000",2006.04.26
96,(활)전복,완도,5/6미,kg,27.8,1,"48,000","30,000","40,600",2006.04.26
97,(활)전복,서산,7/8미,kg,5.8,1,"86,000","86,000","86,000",2006.04.26
98,(활)전복,완도,12/13미,kg,32.9,1,"30,000","29,000","29,500",2006.04.26
99,(활)전복,완도,15/16미,kg,14.2,1,"29,000","29,000","29,000",2006.04.26
100,(활)전복,서산,07미,kg,4.9,1,"88,000","88,000","88,000",2006.04.26
101,(활)전복,완도,07미,kg,22.0,1,"38,000","38,000","38,000",2006.04.26
102,(활)전복,완도,7/8미,kg,40.8,1,"40,000","30,000","35,100",2006.04.26
103,(활)전복,완도,08미,kg,6.8,1,"34,000","34,000","34,000",2006.04.26
104,(활)전복,완도,10미,kg,99.6,1,"32,000","30,000","30,900",2006.04.26
105,(활)전복,완도,11/12미,kg,42.2,1,"32,000","30,000","30,700",2006.04.26
106,(활)전복,완도,10/11미,kg,24.3,1,"33,000","30,000","31,100",2006.04.26
107,(활)전복,완도,05미,kg,23.2,1,"53,000","48,000","50,300",2006.04.27
108,(활)전복,완도,8/9미,kg,49.7,1,"38,000","30,000","35,100",2006.04.27
109,(활)전복,완도,04미,kg,11.1,1,"56,000","56,000","56,000",2006.04.27
110,(활)전복,완도,6/7미,kg,39.7,1,"43,000","30,000","37,600",2006.04.27
111,(활)전복,완도,14/15미,kg,65.0,1,"29,000","28,000","28,800",2006.04.27
112,(활)전복,완도,9/10미,kg,73.0,1,"36,000","33,000","34,300",2006.04.27
113,(활)전복,서산,05미,kg,4.9,1,"90,000","90,000","90,000",2006.04.27
114,(활)전복,서산,03미,kg,4.5,1,"130,000","130,000","130,000",2006.04.27
115,(활)전복,서산,06미,kg,15.4,1,"88,000","30,000","66,900",2006.04.27
116,(활)전복,서산,6/7미,kg,4.0,1,"30,000","30,000","30,000",2006.04.27
117,(활)전복,완도,13/14미,kg,30.0,1,"31,000","30,000","30,300",2006.04.27
118,(활)전복,완도,5/6미,kg,33.2,1,"49,000","45,000","47,300",2006.04.27
119,(활)전복,완도,12/13미,kg,42.9,1,"33,000","30,000","30,900",2006.04.27
120,(활)전복,완도,20미,kg,13.8,1,"27,000","27,000","27,000",2006.04.27
121,(활)전복,서산,07미,kg,12.1,1,"80,000","80,000","80,000",2006.04.27
122,(활)전복,서산,04미,kg,10.8,1,"125,000","30,000","85,400",2006.04.27
123,(활)전복,완도,7/8미,kg,47.7,1,"42,000","37,000","38,000",2006.04.27
124,(활)전복,완도,08미,kg,45.5,1,"39,000","30,000","37,300",2006.04.27
125,(활)전복,서산,5/6미,kg,7.0,1,"90,000","30,000","59,100",2006.04.27
126,(활)전복,완도,10미,kg,53.3,1,"34,000","32,000","33,400",2006.04.27
127,(활)전복,완도,11/12미,kg,60.6,1,"32,000","29,000","30,900",2006.04.27
128,(활)전복,완도,10/11미,kg,18.5,1,"33,000","31,000","32,100",2006.04.27
129,(활)전복,완도,11/12미,kg,77.4,1,"33,000","30,000","31,200",2006.04.28
130,(활)전복,완도,8/9미,kg,146.1,1,"40,000","17,000","34,400",2006.04.28
131,(활)전복,완도,04미,kg,5.8,1,"63,000","63,000","63,000",2006.04.28
132,(활)전복,완도,6/7미,kg,65.1,1,"45,000","30,000","41,000",2006.04.28
133,(활)전복,완도,14/15미,kg,67.9,1,"30,000","29,000","29,900",2006.04.28
134,(활)전복,완도,9/10미,kg,62.6,1,"35,000","33,000","34,300",2006.04.28
135,(활)전복,서산,05미,kg,17.8,1,"110,000","30,000","78,400",2006.04.28
136,(활)전복,서산,06미,kg,5.3,1,"83,000","83,000","83,000",2006.04.28
137,(활)전복,서산,6/7미,kg,8.4,1,"30,000","30,000","30,000",2006.04.28
138,(활)전복,완도,13/14미,kg,18.6,1,"29,000","29,000","29,000",2006.04.28
139,(활)전복,완도,5/6미,kg,57.1,1,"55,000","30,000","49,200",2006.04.28
140,(활)전복,서산,7/8미,kg,13.0,1,"70,000","30,000","44,200",2006.04.28
141,(활)전복,완도,12/13미,kg,23.3,1,"32,000","31,000","32,000",2006.04.28
142,(활)전복,완도,15/16미,kg,22.4,1,"30,000","30,000","30,000",2006.04.28
143,(활)전복,완도,06미,kg,11.0,1,"43,000","43,000","43,000",2006.04.28
144,(활)전복,서산,04미,kg,14.8,1,"153,000","30,000","101,000",2006.04.28
145,(활)전복,완도,07미,kg,46.0,1,"45,000","30,000","40,700",2006.04.28
146,(활)전복,완도,7/8미,kg,40.8,1,"39,000","38,000","38,700",2006.04.28
147,(활)전복,완도,08미,kg,33.5,1,"38,000","30,000","33,900",2006.04.28
148,(활)전복,서산,5/6미,kg,7.3,1,"85,000","85,000","85,000",2006.04.28
149,(활)전복,완도,10미,kg,85.1,1,"34,000","30,000","32,300",2006.04.28
150,(활)전복,완도,10/11미,kg,121.7,1,"34,000","31,000","33,200",2006.04.28
151,(활)전복,완도,02미,kg,20.1,1,"46,000","46,000","46,000",2006.04.29
152,(활)전복,완도,8/9미,kg,81.3,1,"40,000","30,000","35,700",2006.04.29
153,(활)전복,완도,04미,kg,11.1,1,"60,000","60,000","60,000",2006.04.29
154,(활)전복,서산,10/11미,kg,4.7,1,"50,000","50,000","50,000",2006.04.29
155,(활)전복,완도,25미,kg,11.1,1,"18,000","18,000","18,000",2006.04.29
156,(활)전복,완도,6/7미,kg,9.1,1,"41,000","41,000","41,000",2006.04.29
