,species,from,date,qty,1kg price,year,month,day
0,(선)삼치,통영,2006.03.21,169.5,4900.0,2006,03,21
1,(선)삼치,부산(기장),2006.03.21,120.1,3000.0,2006,03,21
2,(선)삼치,통영,2006.03.22,8.0,750.0,2006,03,22
4,(선)삼치,부산(기장),2006.03.22,49.4,3900.0,2006,03,22
5,(선)삼치,부산(기장),2006.03.22,480.0,1625.0,2006,03,22
6,(선)삼치,부산(기장),2006.03.22,3880.0,1300.0,2006,03,22
7,(선)삼치,부산(기장),2006.03.22,2640.0,1262.5,2006,03,22
8,(선)삼치,부산(기장),2006.03.22,2400.0,1000.0,2006,03,22
9,(선)삼치,통영,2006.03.22,368.0,1375.0,2006,03,22
10,(냉)삼치,마산,2006.03.22,660.0,1833.33,2006,03,22
11,(선)삼치,부산(기장),2006.03.23,38.6,4600.0,2006,03,23
13,(선)삼치,부산(기장),2006.03.23,2136.0,1875.0,2006,03,23
14,(선)삼치,부산(기장),2006.03.23,1200.0,1250.0,2006,03,23
16,(선)삼치,부산(기장),2006.03.23,3880.0,1875.0,2006,03,23
17,(선)삼치,부산(기장),2006.03.24,70.8,5000.0,2006,03,24
19,(선)삼치,부산(기장),2006.03.24,120.0,1500.0,2006,03,24
20,(선)삼치,부산(기장),2006.03.24,992.0,875.0,2006,03,24
21,(선)삼치,부산(기장),2006.03.24,32.0,2500.0,2006,03,24
22,(선)삼치,통영,2006.03.24,1120.0,1000.0,2006,03,24
23,(선)삼치,부산(기장),2006.03.24,1736.0,1312.5,2006,03,24
24,(선)삼치,부산(기장),2006.03.24,728.0,875.0,2006,03,24
25,(선)삼치,부산(기장),2006.03.24,4456.0,1275.0,2006,03,24
26,(선)삼치,부산(기장),2006.03.24,14256.0,1125.0,2006,03,24
27,(선)삼치,부산(기장),2006.03.24,904.0,875.0,2006,03,24
29,(선)삼치,부산(기장),2006.03.25,8.0,625.0,2006,03,25
30,(선)삼치,부산(기장),2006.03.25,1600.0,1000.0,2006,03,25
31,(선)삼치,부산(기장),2006.03.25,9192.0,1137.5,2006,03,25
32,(선)삼치,부산(기장),2006.03.25,16.0,625.0,2006,03,25
33,(선)삼치,부산(기장),2006.03.25,7360.0,1062.5,2006,03,25
34,(선)삼치,부산(기장),2006.03.25,1200.0,1000.0,2006,03,25
35,(선)삼치,통영,2006.03.27,256.8,5000.0,2006,03,27
36,(선)삼치,부산(기장),2006.03.27,66.5,4000.0,2006,03,27
37,(선)삼치,부산(기장),2006.03.27,30.0,4000.0,2006,03,27
39,(선)삼치,통영,2006.03.28,186.9,4800.0,2006,03,28
41,(선)삼치,부산(기장),2006.03.28,7.0,2000.0,2006,03,28
42,(선)삼치,부산(기장),2006.03.28,1672.0,1000.0,2006,03,28
43,(선)삼치,부산(기장),2006.03.28,2976.0,1000.0,2006,03,28
44,(선)삼치,부산(기장),2006.03.28,7.3,4000.0,2006,03,28
45,(선)삼치,부산(기장),2006.03.28,1272.0,1000.0,2006,03,28
46,(선)삼치,부산(기장),2006.03.28,960.0,1000.0,2006,03,28
47,(선)삼치,부산(기장),2006.03.28,40.0,4000.0,2006,03,28
49,(선)삼치,통영,2006.03.29,47.8,4000.0,2006,03,29
50,(선)삼치,부산(기장),2006.03.29,551.6,2300.0,2006,03,29
51,(선)삼치,부산(기장),2006.03.29,237.7,2500.0,2006,03,29
52,(선)삼치,부산(기장),2006.03.30,325.8,2100.0,2006,03,30
54,(선)삼치,부산(기장),2006.03.30,904.0,875.0,2006,03,30
55,(선)삼치,부산(기장),2006.03.30,5608.0,787.5,2006,03,30
56,(선)삼치,부산(기장),2006.03.30,200.0,1875.0,2006,03,30
57,(선)삼치,부산(기장),2006.03.30,5528.0,837.5,2006,03,30
58,(선)삼치,부산(기장),2006.03.30,1472.0,875.0,2006,03,30
60,(선)삼치,부산(기장),2006.03.31,1200.0,1000.0,2006,03,31
61,(선)삼치,부산(기장),2006.03.31,185.9,2400.0,2006,03,31
62,(선)삼치,삼천포,2006.03.31,10.0,2400.0,2006,03,31
64,(선)삼치,부산(기장),2006.03.31,472.0,875.0,2006,03,31
66,(선)삼치,부산(기장),2006.03.31,400.0,1000.0,2006,03,31
70,(선)삼치,부산(기장),2006.04.01,200.0,1700.0,2006,04,01
72,(선)삼치,부산(기장),2006.04.01,712.0,1375.0,2006,04,01
73,(선)삼치,부산(기장),2006.04.01,3288.0,1500.0,2006,04,01
74,(선)삼치,부산(기장),2006.04.01,1200.0,1375.0,2006,04,01
75,(선)삼치,부산(기장),2006.04.01,1200.0,1375.0,2006,04,01
77,(선)삼치,삼천포,2006.04.03,624.0,1625.0,2006,04,03
78,(선)삼치,삼천포,2006.04.03,96.0,1000.0,2006,04,03
79,(선)삼치,부산(기장),2006.04.03,1600.0,2250.0,2006,04,03
80,(선)삼치,삼천포,2006.04.03,8.0,1000.0,2006,04,03
81,(선)삼치,부산(기장),2006.04.03,800.0,2500.0,2006,04,03
82,(선)삼치,부산(기장),2006.04.03,112.0,625.0,2006,04,03
83,(선)삼치,부산(기장),2006.04.03,3384.0,2162.5,2006,04,03
85,(선)삼치,통영,2006.04.04,8.0,1000.0,2006,04,04
86,(선)삼치,여수,2006.04.04,184.0,1250.0,2006,04,04
87,(선)삼치,통영,2006.04.04,432.0,1875.0,2006,04,04
88,(선)삼치,통영,2006.04.04,40.0,1000.0,2006,04,04
89,(선)삼치,부산(기장),2006.04.04,3544.0,1737.5,2006,04,04
90,(선)삼치,부산(기장),2006.04.04,984.0,750.0,2006,04,04
91,(선)삼치,통영,2006.04.04,80.0,2500.0,2006,04,04
92,(선)삼치,부산(기장),2006.04.04,4904.0,1325.0,2006,04,04
93,(선)삼치,통영,2006.04.04,424.0,1000.0,2006,04,04
94,(선)삼치,부산(기장),2006.04.04,728.0,1625.0,2006,04,04
95,(선)삼치,통영,2006.04.04,10.0,2500.0,2006,04,04
96,(선)삼치,통영,2006.04.04,694.1,3300.0,2006,04,04
97,(선)삼치,통영,2006.04.04,512.0,1687.5,2006,04,04
98,(냉)삼치,마산,2006.04.04,990.0,1500.0,2006,04,04
99,(냉)삼치,마산,2006.04.04,500.0,1500.0,2006,04,04
100,(냉)삼치,마산,2006.04.04,600.0,833.33,2006,04,04
101,(선)삼치,삼천포,2006.04.05,2280.0,1712.5,2006,04,05
102,(선)삼치,통영,2006.04.05,190.6,3000.0,2006,04,05
103,(선)삼치,부산(기장),2006.04.05,14.4,3000.0,2006,04,05
104,(선)삼치,부산(기장),2006.04.05,4496.0,1287.5,2006,04,05
105,(선)삼치,부산(기장),2006.04.05,8.0,1000.0,2006,04,05
106,(선)삼치,부산(기장),2006.04.05,120.0,533.33,2006,04,05
108,(냉)삼치,부산(기장),2006.04.05,600.0,1833.33,2006,04,05
109,(냉)삼치,마산,2006.04.05,500.0,1500.0,2006,04,05
110,(냉)삼치,마산,2006.04.05,660.0,1833.33,2006,04,05
111,(선)삼치,부산(기장),2006.04.06,24.0,1875.0,2006,04,06
112,(선)삼치,통영,2006.04.06,124.3,4200.0,2006,04,06
113,(선)삼치,부산(기장),2006.04.06,19.1,3000.0,2006,04,06
114,(선)삼치,부산(기장),2006.04.06,24.0,1875.0,2006,04,06
115,(선)삼치,부산(기장),2006.04.06,360.0,1750.0,2006,04,06
116,(선)삼치,부산(기장),2006.04.06,5.0,2000.0,2006,04,06
117,(선)삼치,부산(기장),2006.04.06,240.0,3125.0,2006,04,06
118,(선)삼치,부산(기장),2006.04.06,1520.0,2100.0,2006,04,06
119,(선)삼치,부산(기장),2006.04.06,8.0,1250.0,2006,04,06
120,(냉)삼치,부산(기장),2006.04.06,1670.0,800.0,2006,04,06
121,(냉)삼치,부산(기장),2006.04.06,600.0,1833.33,2006,04,06
122,(냉)삼치,마산,2006.04.06,600.0,2083.33,2006,04,06
123,(선)삼치,부산(기장),2006.04.07,960.0,750.0,2006,04,07
124,(선)삼치,삼천포,2006.04.07,4488.0,1000.0,2006,04,07
125,(선)삼치,통영,2006.04.07,98.7,4800.0,2006,04,07
126,(선)삼치,부산(기장),2006.04.07,93.4,2700.0,2006,04,07
127,(선)삼치,삼천포,2006.04.07,8.0,1500.0,2006,04,07
128,(선)삼치,부산(기장),2006.04.07,24.0,1500.0,2006,04,07
129,(선)삼치,통영,2006.04.07,800.0,1250.0,2006,04,07
130,(선)삼치,부산(기장),2006.04.07,83.1,3000.0,2006,04,07
131,(선)삼치,삼천포,2006.04.07,2488.0,1500.0,2006,04,07
132,(선)삼치,삼천포,2006.04.07,8.0,1500.0,2006,04,07
133,(선)삼치,통영,2006.04.07,2400.0,1387.5,2006,04,07
134,(선)삼치,부산(기장),2006.04.07,60.0,1000.0,2006,04,07
135,(선)삼치,삼천포,2006.04.07,1176.0,1875.0,2006,04,07
136,(선)삼치,부산(기장),2006.04.07,2808.0,1212.5,2006,04,07
137,(냉)삼치,마산,2006.04.07,500.0,1500.0,2006,04,07
139,(냉)삼치,마산,2006.04.07,500.0,1800.0,2006,04,07
140,(냉)삼치,부산(기장),2006.04.07,600.0,1833.33,2006,04,07
141,(냉)삼치,부산(기장),2006.04.07,240.0,1250.0,2006,04,07
142,(냉)삼치,부산(기장),2006.04.07,600.0,1250.0,2006,04,07
