,어종,산지,평균가,최종수량,year,month,day,date,1kg price
0,(선)깐굴,삼천포,11000,7.4,2006,4,4,2006.04,2972.97
1,(선)깐굴,삼천포,17000,87.0,2006,4,4,2006.04,5862.07
2,(선)깐굴,삼천포,10000,256.0,2006,4,4,2006.04,5000.0
3,(선)깐굴,삼천포,9100,341.7,2006,4,4,2006.04,5352.94
4,(선)깐굴,삼천포,10000,286.2,2006,4,4,2006.04,5555.56
5,(선)깐굴,통영,6400,254.0,2006,4,5,2006.04,3200.0
6,(선)깐굴,통영,9600,535.1999999999998,2006,4,5,2006.04,4000.0
7,(선)깐굴,삼천포,7300,55.8,2006,4,5,2006.04,4055.56
8,(선)깐굴,삼천포,9300,321.3,2006,4,5,2006.04,5470.59
9,(선)깐굴,통영,6000,70.0,2006,4,5,2006.04,4285.71
10,(선)깐굴,남해,10700,129.6,2006,4,5,2006.04,5944.44
11,(선)깐굴,통영,4900,194.7,2006,4,5,2006.04,4454.55
12,(선)깐굴,통영,6700,493.0,2006,4,5,2006.04,3941.18
13,(선)깐굴,삼천포,14800,213.3,2006,4,5,2006.04,5481.48
14,(선)깐굴,남해,9300,86.0,2006,4,5,2006.04,4650.0
15,(선)깐굴,통영,5100,440.4,2006,4,5,2006.04,4250.0
16,(선)깐굴,삼천포,10800,234.0,2006,4,5,2006.04,5400.0
17,(선)깐굴,통영,6200,118.4,2006,4,5,2006.04,3875.0
18,(선)깐굴,남해,11000,34.0,2006,4,5,2006.04,6470.59
19,(선)깐굴,통영,8000,115.0,2006,4,5,2006.04,3478.26
20,(선)깐굴,통영,8800,1221.0,2006,4,5,2006.04,4000.0
21,(선)깐굴,남해,9000,85.0,2006,4,5,2006.04,2647.06
22,(선)깐굴,통영,8900,1025.2,2006,4,6,2006.04,4045.45
23,(선)깐굴,삼천포,12500,234.0,2006,4,6,2006.04,6944.44
24,(선)깐굴,삼천포,10500,85.0,2006,4,6,2006.04,6176.47
25,(선)깐굴,남해,8700,163.8,2006,4,6,2006.04,4833.33
26,(선)깐굴,통영,6200,130.0,2006,4,6,2006.04,4769.23
27,(선)깐굴,통영,5300,110.0,2006,4,6,2006.04,4818.18
28,(선)깐굴,통영,7000,193.8,2006,4,6,2006.04,4117.65
29,(선)깐굴,삼천포,13700,272.70000000000005,2006,4,6,2006.04,5074.07
30,(선)깐굴,남해,6000,6.0,2006,4,6,2006.04,3000.0
31,(선)깐굴,통영,4700,685.1999999999998,2006,4,6,2006.04,3916.67
32,(선)깐굴,삼천포,10300,150.0,2006,4,6,2006.04,5150.0
33,(선)깐굴,통영,6900,216.0,2006,4,6,2006.04,4312.5
34,(선)깐굴,통영,3600,46.0,2006,4,6,2006.04,3600.0
35,(선)깐굴,남해,11100,69.7,2006,4,6,2006.04,6529.41
36,(선)깐굴,삼천포,7500,92.8,2006,4,6,2006.04,4687.5
37,(선)깐굴,남해,10000,74.0,2006,4,6,2006.04,2702.7
38,(선)깐굴,통영,9300,288.0,2006,4,6,2006.04,3875.0
39,(선)깐굴,통영,8200,943.8,2006,4,7,2006.04,3727.27
40,(선)깐굴,남해,9000,74.0,2006,4,7,2006.04,2432.43
41,(선)깐굴,통영,6000,18.0,2006,4,7,2006.04,3333.33
42,(선)깐굴,남해,10200,32.3,2006,4,7,2006.04,6000.0
43,(선)깐굴,삼천포,10000,54.0,2006,4,7,2006.04,5000.0
44,(선)깐굴,통영,5500,150.0,2006,4,7,2006.04,3666.67
45,(선)깐굴,통영,5000,750.0,2006,4,7,2006.04,4166.67
46,(선)깐굴,남해,10000,114.0,2006,4,7,2006.04,5000.0
47,(선)깐굴,삼천포,10400,372.6,2006,4,7,2006.04,3851.85
48,(선)깐굴,통영,6100,535.5,2006,4,7,2006.04,3588.24
49,(선)깐굴,통영,4500,33.0,2006,4,7,2006.04,4090.91
50,(선)깐굴,삼천포,6200,300.9,2006,4,7,2006.04,3647.06
51,(선)깐굴,삼천포,8500,295.2,2006,4,7,2006.04,4722.22
52,(선)깐굴,통영,8700,1104.0,2006,4,7,2006.04,3625.0
53,(선)깐굴,삼천포,11000,75.0,2006,4,8,2006.04,4400.0
54,(선)깐굴,통영,11500,117.6,2006,4,8,2006.04,4791.67
55,(선)깐굴,삼천포,11000,72.0,2006,4,8,2006.04,6111.11
56,(선)깐굴,삼천포,8300,236.3,2006,4,8,2006.04,4882.35
57,(선)깐굴,남해,9000,94.5,2006,4,8,2006.04,2571.43
58,(선)깐굴,남해,9600,106.2,2006,4,8,2006.04,5333.33
59,(선)깐굴,통영,5100,195.0,2006,4,8,2006.04,3923.08
60,(선)깐굴,통영,6400,462.4,2006,4,8,2006.04,3764.71
61,(선)깐굴,통영,7200,566.0,2006,4,8,2006.04,3600.0
62,(선)깐굴,남해,10000,80.0,2006,4,8,2006.04,5000.0
63,(선)깐굴,통영,4900,896.4,2006,4,8,2006.04,4083.33
64,(선)깐굴,통영,6800,208.5,2006,4,8,2006.04,4533.33
