관측소명	관측일시	수층	수온 (℃)	염분(psu)	DO(mg/L)	표준편차(수온)	표준편차(염분)	표준편차(DO)	
남해 강진(eng5c)	2021-04-19	표층	14.4			0.2			
남해 강진(eng5c)	2021-04-18	표층	14.5			0.2			
남해 강진(eng5c)	2021-04-17	표층	14.7			0.3			
남해 강진(eng5c)	2021-04-16	표층	14.4			0.3			
남해 강진(eng5c)	2021-04-15	표층	14.3			0.1			
남해 강진(eng5c)	2021-04-14	표층	14.1			0.2			
남해 강진(eng5c)	2021-04-13	표층	14.4			0.3			
남해 강진(eng5c)	2021-04-12	표층	14.3			0.2			
남해 강진(eng5c)	2021-04-11	표층	14.2			0.3			
남해 강진(eng5c)	2021-04-10	표층	14.2			0.3			
남해 강진(eng5c)	2021-04-09	표층	14.5			0.3			
남해 강진(eng5c)	2021-04-08	표층	14.5			0.3			
남해 강진(eng5c)	2021-04-07	표층	14.3			0.3			
남해 강진(eng5c)	2021-04-06	표층	13.8			0.3			
남해 강진(eng5c)	2021-04-05	표층	13.6			0.2			
남해 강진(eng5c)	2021-04-04	표층	13.7			0.2			
남해 강진(eng5c)	2021-04-03	표층	13.4			0.2			
남해 강진(eng5c)	2021-04-02	표층	13.1			0.2			
남해 강진(eng5c)	2021-04-01	표층	13.1			0.2			
남해 강진(eng5c)	2021-03-31	표층	13.0			0.3			
남해 강진(eng5c)	2021-03-30	표층	12.9			0.3			
남해 강진(eng5c)	2021-03-29	표층	12.8			0.4			
남해 강진(eng5c)	2021-03-28	표층	12.5			0.4			
남해 강진(eng5c)	2021-03-27	표층	12.2			0.2			
남해 강진(eng5c)	2021-03-26	표층	12.1			0.3			
남해 강진(eng5c)	2021-03-25	표층	12.0			0.3			
남해 강진(eng5c)	2021-03-24	표층	11.6			0.2			
남해 강진(eng5c)	2021-03-23	표층	11.5			0.2			
남해 강진(eng5c)	2021-03-22	표층	11.6			0.1			
남해 강진(eng5c)	2021-03-21	표층	11.8			0.2			
남해 강진(eng5c)	2021-03-20	표층	11.7			0.1			
남해 강진(eng5c)	2021-03-19	표층	11.7			0.3			
남해 강진(eng5c)	2021-03-18	표층	11.4			0.3			
남해 강진(eng5c)	2021-03-17	표층	11.3			0.2			
남해 강진(eng5c)	2021-03-16	표층	11.0			0.3			
남해 강진(eng5c)	2021-03-15	표층	10.7			0.3			
남해 강진(eng5c)	2021-03-14	표층	10.3			0.2			
남해 강진(eng5c)	2021-03-13	표층	10.1			0.2			
남해 강진(eng5c)	2021-03-12	표층	10.1			0.2			
남해 강진(eng5c)	2021-03-11	표층	10.0			0.2			
남해 강진(eng5c)	2021-03-10	표층	9.9			0.2			
남해 강진(eng5c)	2021-03-09	표층	9.6			0.3			
남해 강진(eng5c)	2021-03-08	표층	9.2			0.2			
남해 강진(eng5c)	2021-03-07	표층	9.0			0.1			
남해 강진(eng5c)	2021-03-06	표층	9.1			0.1			
남해 강진(eng5c)	2021-03-05	표층	8.8			0.2			
남해 강진(eng5c)	2021-03-04	표층	8.6			0.1			
남해 강진(eng5c)	2021-03-03	표층	8.5			0.1			
남해 강진(eng5c)	2021-03-02	표층	8.5			0.1			
