관측소명	관측일시	수층	수온 (℃)	염분(psu)	DO(mg/L)	표준편차(수온)	표준편차(염분)	표준편차(DO)	
통영 학림(fth59)	2021-04-19	표층	13.9		10.42	0.1		0.10	
통영 학림(fth59)	2021-04-18	표층	14.0		10.57	0.2		0.25	
통영 학림(fth59)	2021-04-17	표층	14.0		10.63	0.2		0.29	
통영 학림(fth59)	2021-04-16	표층	13.8		10.66	0.2		0.15	
통영 학림(fth59)	2021-04-15	표층	13.7		10.69	0.1		0.13	
통영 학림(fth59)	2021-04-14	표층	13.6		10.72	0.1		0.12	
통영 학림(fth59)	2021-04-13	표층	13.6		10.80	0.1		0.09	
통영 학림(fth59)	2021-04-12	표층	13.5		11.03	0.1		0.14	
통영 학림(fth59)	2021-04-11	표층	13.5		11.17	0.2		0.15	
통영 학림(fth59)	2021-04-10	표층	13.4		11.16	0.1		0.12	
통영 학림(fth59)	2021-04-09	표층	13.4		11.16	0.1		0.14	
통영 학림(fth59)	2021-04-08	표층	13.4		11.09	0.1		0.25	
통영 학림(fth59)	2021-04-07	표층	13.2		11.04	0.2		0.26	
통영 학림(fth59)	2021-04-06	표층	13.2		11.02	0.1		0.24	
통영 학림(fth59)	2021-04-05	표층	13.1		10.86	0.2		0.16	
통영 학림(fth59)	2021-04-04	표층	13.0		10.83	0.1		0.19	
통영 학림(fth59)	2021-04-03	표층	13.1		11.06	0.1		0.19	
통영 학림(fth59)	2021-04-02	표층	13.0		11.15	0.2		0.12	
통영 학림(fth59)	2021-04-01	표층	12.9		11.27	0.1		0.11	
통영 학림(fth59)	2021-03-31	표층	12.9		11.39	0.1		0.12	
통영 학림(fth59)	2021-03-30	표층	12.9		11.47	0.1		0.15	
통영 학림(fth59)	2021-03-29	표층	12.8		11.46	0.1		0.12	
통영 학림(fth59)	2021-03-28	표층	12.6		11.48	0.1		0.12	
통영 학림(fth59)	2021-03-27	표층	12.5		11.65	0.1		0.12	
통영 학림(fth59)	2021-03-26	표층	12.4		11.67	0.1		0.17	
통영 학림(fth59)	2021-03-25	표층	12.3		11.56	0.2		0.17	
통영 학림(fth59)	2021-03-24	표층	12.1		11.39	0.1		0.27	
통영 학림(fth59)	2021-03-23	표층	12.1		11.26	0.1		0.28	
통영 학림(fth59)	2021-03-22	표층	12.1		11.32	0.1		0.15	
통영 학림(fth59)	2021-03-21	표층	12.3		11.27	0.1		0.17	
통영 학림(fth59)	2021-03-20	표층	12.2		11.30	0.0		0.18	
통영 학림(fth59)	2021-03-19	표층	12.3		11.45	0.1		0.17	
통영 학림(fth59)	2021-03-18	표층	12.2		11.46	0.1		0.15	
통영 학림(fth59)	2021-03-17	표층	12.1		11.47	0.1		0.16	
통영 학림(fth59)	2021-03-16	표층	12.1		11.41	0.2		0.10	
통영 학림(fth59)	2021-03-15	표층	11.9		11.46	0.1		0.10	
통영 학림(fth59)	2021-03-14	표층	11.8		11.50	0.1		0.10	
통영 학림(fth59)	2021-03-13	표층	11.7		11.60	0.1		0.10	
통영 학림(fth59)	2021-03-12	표층	11.6		11.81	0.0		0.11	
통영 학림(fth59)	2021-03-11	표층	11.6		11.96	0.1		0.13	
통영 학림(fth59)	2021-03-10	표층	11.5		12.18	0.1		0.12	
통영 학림(fth59)	2021-03-09	표층	11.5		12.32	0.1		0.23	
통영 학림(fth59)	2021-03-08	표층	11.4			0.1			
통영 학림(fth59)	2021-03-07	표층	11.3			0.1			
통영 학림(fth59)	2021-03-06	표층	11.3		6.25	0.0		0.22	
통영 학림(fth59)	2021-03-05	표층	11.1		6.38	0.1		0.21	
통영 학림(fth59)	2021-03-04	표층	11.1		6.38	0.1		0.21	
통영 학림(fth59)	2021-03-03	표층	11.0		6.41	0.1		0.22	
통영 학림(fth59)	2021-03-02	표층	11.0		6.44	0.1		0.23	
통영 학림(fth59)	2021-03-01	표층	11.0		6.50	0.1		0.22	
통영 학림(fth59)	2021-02-28	표층	11.0		6.56	0.1		0.21	
통영 학림(fth59)	2021-02-27	표층	11.1		6.50	0.1		0.22	
통영 학림(fth59)	2021-02-26	표층	11.1		6.50	0.1		0.22	
통영 학림(fth59)	2021-02-25	표층	11.1		6.55	0.1		0.22	
통영 학림(fth59)	2021-02-24	표층	11.1		6.56	0.1		0.21	
통영 학림(fth59)	2021-02-23	표층	11.0		6.48	0.1		0.24	
통영 학림(fth59)	2021-02-22	표층	11.0		6.55	0.2		0.25	
통영 학림(fth59)	2021-02-21	표층	10.9		6.58	0.2		0.20	
통영 학림(fth59)	2021-02-20	표층	10.8		6.51	0.1		0.21	
통영 학림(fth59)	2021-02-19	표층	10.6		6.53	0.1		0.22	
통영 학림(fth59)	2021-02-18	표층	10.7		6.64	0.1		0.17	
통영 학림(fth59)	2021-02-17	표층	10.9		6.56	0.1		0.19	
통영 학림(fth59)	2021-02-16	표층	11.1		6.51	0.1		0.19	
통영 학림(fth59)	2021-02-15	표층	11.2		6.52	0.1		0.20	
통영 학림(fth59)	2021-02-14	표층	11.2		6.53	0.0		0.21	
통영 학림(fth59)	2021-02-13	표층	11.2		6.64	0.1		0.20	
통영 학림(fth59)	2021-02-12	표층	11.0		6.65	0.1		0.19	
통영 학림(fth59)	2021-02-11	표층	11.0		6.68	0.1		0.20	
통영 학림(fth59)	2021-02-10	표층	11.1		6.74	0.1		0.19	
통영 학림(fth59)	2021-02-09	표층	11.0		6.68	0.1		0.18	
통영 학림(fth59)	2021-02-08	표층	11.1		6.76	0.1		0.20	
통영 학림(fth59)	2021-02-07	표층	11.1		6.79	0.1		0.16	
통영 학림(fth59)	2021-02-06	표층	11.1		6.79	0.1		0.20	
통영 학림(fth59)	2021-02-05	표층	11.0		6.92	0.1		0.16	
통영 학림(fth59)	2021-02-04	표층	11.1		6.87	0.1		0.20	
통영 학림(fth59)	2021-02-03	표층	11.0		6.98	0.1		0.20	
통영 학림(fth59)	2021-02-02	표층	11.1		7.02	0.0		0.18	
통영 학림(fth59)	2021-02-01	표층	11.2		7.07	0.1		0.18	
통영 학림(fth59)	2021-01-31	표층	11.1		7.12	0.1		0.18	
통영 학림(fth59)	2021-01-30	표층	11.0		7.14	0.1		0.20	
통영 학림(fth59)	2021-01-29	표층	10.9		7.28	0.1		0.18	
통영 학림(fth59)	2021-01-28	표층	11.1		7.27	0.0		0.19	
통영 학림(fth59)	2021-01-27	표층	11.1		7.30	0.0		0.16	
통영 학림(fth59)	2021-01-26	표층	11.2		7.37	0.1		0.18	
통영 학림(fth59)	2021-01-25	표층	11.2		7.39	0.0		0.19	
통영 학림(fth59)	2021-01-24	표층	11.1		7.49	0.1		0.20	
통영 학림(fth59)	2021-01-23	표층	11.0		7.65	0.1		0.19	
통영 학림(fth59)	2021-01-22	표층	11.0		7.75	0.2		0.20	
통영 학림(fth59)	2021-01-21	표층	11.0		7.77	0.1		0.19	
통영 학림(fth59)	2021-01-20	표층	11.0		7.94	0.1		0.16	
통영 학림(fth59)	2021-01-19	표층	11.1		7.97	0.1		0.19	
통영 학림(fth59)	2021-01-18	표층	11.2		8.06	0.1		0.16	
통영 학림(fth59)	2021-01-17	표층	11.3		8.17	0.1		0.15	
통영 학림(fth59)	2021-01-16	표층	11.3		8.30	0.1		0.17	
통영 학림(fth59)	2021-01-15	표층	11.2		8.55	0.1		0.15	
통영 학림(fth59)	2021-01-14	표층	10.9		8.73	0.1		0.18	
통영 학림(fth59)	2021-01-13	표층	10.9		8.95	0.1		0.21	
통영 학림(fth59)	2021-01-12	표층	11.1		9.67	0.1		0.38	
통영 학림(fth59)	2021-01-11	표층	11.1		9.61	0.1		0.37	
통영 학림(fth59)	2021-01-10	표층	11.1		9.43	0.1		0.41	
통영 학림(fth59)	2021-01-09	표층	11.2		9.52	0.1		0.34	
