,어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,일시
0,(선)깐굴,통영,대,box,15,10.0,"23,000","23,000","23,000",2009.01.02
1,(선)깐굴,마산,소,box,22,1.3,"11,000","11,000","11,000",2009.01.02
2,(선)깐굴,고흥,소,box,20,3.9,"22,000","22,000","22,000",2009.01.02
3,(선)깐굴,남해,소,box,100,1.5,"15,000","15,000","15,000",2009.01.02
4,(선)깐굴,사천,소,box,60,1.4,"13,000","13,000","13,000",2009.01.02
5,(선)깐굴,남해,소,box,35,2.0,"12,000","12,000","12,000",2009.01.02
6,(선)깐굴,남해,소,box,44,4.0,"20,500","20,500","20,500",2009.01.02
7,(선)깐굴,사천,소,box,41,1.5,"13,000","8,000","12,300",2009.01.02
8,(선)깐굴,사천,소,box,440,1.8,"18,000","14,000","16,700",2009.01.02
9,(선)깐굴,통영,소,box,801,1.7,"14,600","13,200","14,100",2009.01.02
10,(선)깐굴,고흥,소,box,101,3.8,"27,000","21,000","22,400",2009.01.02
11,(선)깐굴,사천,소,box,16,3.7,"22,000","22,000","22,000",2009.01.02
12,(선)깐굴,남해,소,box,114,2.6,"17,000","16,000","16,500",2009.01.02
13,(선)깐굴,통영,소,box,480,1.4,"13,000","12,000","12,300",2009.01.02
14,(선)깐굴,남해,소,S/P,5,2.0,"25,000","25,000","25,000",2009.01.02
15,(선)깐굴,남해,소,box,142,3.6,"22,000","19,000","21,100",2009.01.02
16,(선)깐굴,사천,소,box,45,2.6,"23,500","23,500","23,500",2009.01.02
17,(선)깐굴,사천,소,box,395,2.7,"23,500","22,000","23,200",2009.01.02
18,(선)깐굴,고흥,소,box,35,3.7,"28,000","23,000","25,100",2009.01.02
19,(선)깐굴,남해,소,box,97,2.8,"19,000","19,000","19,000",2009.01.02
20,(선)깐굴,마산,소,box,90,1.9,"14,500","14,500","14,500",2009.01.02
21,(선)깐굴,남해,소,box,56,3.0,"16,500","16,000","16,400",2009.01.02
22,(선)깐굴,남해,소,box,35,3.4,"20,000","20,000","20,000",2009.01.02
23,(선)깐굴,고흥,소,box,38,3.6,"24,000","22,000","22,700",2009.01.02
24,(선)깐굴,사천,소,box,30,4.0,"24,000","24,000","24,000",2009.01.02
25,(선)깐굴,통영,소,box,536,1.5,"13,500","12,500","12,900",2009.01.02
26,(선)깐굴,고흥,소,box,21,4.0,"27,000","20,000","24,000",2009.01.02
27,(선)깐굴,사천,소,box,50,2.0,"17,700","17,700","17,700",2009.01.02
28,(선)깐굴,고흥,소,box,30,3.5,"22,000","22,000","22,000",2009.01.02
29,(선)깐굴,통영,소,box,238,2.2,"17,500","16,000","16,700",2009.01.02
30,(선)깐굴,남해,소,box,135,3.9,"23,000","20,500","21,100",2009.01.02
31,(선)깐굴,충무,소,S/P,5,1.6,"25,000","25,000","25,000",2009.01.02
32,(선)깐굴,사천,소,box,115,3.8,"25,000","25,000","25,000",2009.01.02
33,(선)깐굴,통영,소,box,138,2.3,"17,700","17,500","17,600",2009.01.02
34,(선)깐굴,남해,소,box,50,3.7,"19,000","19,000","19,000",2009.01.02
35,(선)깐굴,사천,소,box,143,1.6,"11,000","11,000","11,000",2009.01.02
36,(선)깐굴,사천,소,box,378,3.6,"24,000","23,500","23,800",2009.01.02
37,(선)깐굴,남해,소,box,45,2.9,"18,000","18,000","18,000",2009.01.02
38,(선)깐굴,사천,소,box,421,2.9,"20,000","19,000","19,600",2009.01.02
39,(선)깐굴,남해,소,box,25,1.6,"12,000","12,000","12,000",2009.01.02
40,(선)깐굴,고흥,소,S/P,3,4.0,"38,000","38,000","38,000",2009.01.02
41,(선)깐굴,통영,소,box,108,1.8,"14,500","13,000","14,400",2009.01.02
42,(선)깐굴,남해,소,box,602,3.8,"24,000","19,000","20,900",2009.01.02
43,(선)깐굴,사천,소,box,187,3.0,"18,500","18,500","18,500",2009.01.02
44,(선)깐굴,통영,소,box,281,0.9,"10,000","9,500","9,600",2009.01.02
45,(선)깐굴,사천,소,box,50,2.8,"23,500","23,500","23,500",2009.01.02
46,(선)깐굴,남해,소,box,48,2.7,"18,000","18,000","18,000",2009.01.02
47,(선)깐굴,통영,소,box,579,1.6,"14,600","12,500","13,600",2009.01.02
48,(선)깐굴,남해,소,box,24,2.4,"17,000","17,000","17,000",2009.01.02
49,(활)바위굴,통영,대,box,50,10.0,"14,000","14,000","14,000",2009.01.02
50,(활)바위굴,마산,대,box,738,10.0,"14,000","14,000","14,000",2009.01.02
51,(선)바위굴,통영,대,box,45,10.0,"12,000","12,000","12,000",2009.01.02
52,(선)깐굴,통영,대,box,25,10.0,"23,000","23,000","23,000",2009.01.03
53,(선)깐굴,통영,소,box,175,1.5,"15,500","15,000","15,400",2009.01.03
54,(선)깐굴,통영,소,box,21,0.7,"9,000","9,000","9,000",2009.01.03
55,(선)깐굴,사천,소,box,99,3.9,"27,000","27,000","27,000",2009.01.03
56,(선)깐굴,고흥,소,box,17,3.9,"20,000","20,000","20,000",2009.01.03
57,(선)깐굴,남해,소,box,55,1.5,"15,000","15,000","15,000",2009.01.03
58,(선)깐굴,사천,소,box,19,1.4,"13,000","13,000","13,000",2009.01.03
59,(선)깐굴,남해,소,box,29,4.0,"23,500","23,500","23,500",2009.01.03
60,(선)깐굴,사천,소,box,14,1.5,"13,500","10,000","12,800",2009.01.03
61,(선)깐굴,사천,소,box,262,1.8,"17,200","16,200","16,800",2009.01.03
62,(선)깐굴,통영,소,box,201,1.7,"16,200","15,000","16,100",2009.01.03
63,(선)깐굴,고흥,소,box,28,3.8,"25,000","25,000","25,000",2009.01.03
64,(선)깐굴,사천,소,box,113,3.7,"27,000","25,500","26,300",2009.01.03
65,(선)깐굴,통영,소,box,35,1.3,"13,700","13,700","13,700",2009.01.03
66,(선)깐굴,남해,소,box,147,2.6,"19,000","19,000","19,000",2009.01.03
67,(선)깐굴,통영,소,box,253,1.4,"14,500","14,200","14,400",2009.01.03
68,(선)깐굴,남해,소,box,10,3.6,"23,500","23,500","23,500",2009.01.03
69,(선)깐굴,사천,소,box,285,2.6,"24,200","24,000","24,100",2009.01.03
70,(선)깐굴,사천,소,box,287,1.7,"18,000","12,500","16,600",2009.01.03
71,(선)깐굴,통영,소,box,594,1.6,"16,500","14,700","15,300",2009.01.03
72,(선)깐굴,사천,소,box,130,2.5,"24,000","23,000","23,600",2009.01.03
73,(선)깐굴,고흥,소,box,23,4.0,"25,000","18,000","23,000",2009.01.03
74,(선)깐굴,통영,소,box,75,2.2,"19,000","19,000","19,000",2009.01.03
75,(선)깐굴,남해,소,box,157,3.9,"24,000","23,500","23,700",2009.01.03
