,어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,일시
0,(선)삼치,삼천포,5미,S/P,7,10,"20,000","20,000","20,000",2016.01.02
1,(선)삼치,삼천포,10미,S/P,402,10,"20,000","12,000","14,700",2016.01.02
2,(선)삼치,포항,중,S/P,1,20,"50,000","50,000","50,000",2016.01.02
3,(선)삼치,부산(기장),중,S/P,19,10,"15,000","15,000","15,000",2016.01.02
4,(선)삼치,부산(기장),12미,S/P,33,10,"10,000","10,000","10,000",2016.01.02
5,(선)삼치,통영,12미,S/P,2,10,"20,000","20,000","20,000",2016.01.02
6,(선)삼치,부산(기장),10미,S/P,368,10,"25,000","20,000","20,100",2016.01.02
7,(선)삼치,통영,10미,S/P,87,10,"30,000","15,000","25,300",2016.01.02
8,(선)삼치,삼천포,8미,S/P,444,10,"20,000","15,000","20,000",2016.01.02
9,(선)삼치,부산(기장),4미,S/P,1,10,"20,000","20,000","20,000",2016.01.02
10,(선)삼치,부산(기장),8미,S/P,670,10,"24,000","17,000","22,400",2016.01.02
11,(선)삼치,통영,11미,S/P,1,10,"20,000","20,000","20,000",2016.01.02
12,(선)삼치,포항,6미,S/P,2,10,"20,000","20,000","20,000",2016.01.02
13,(선)삼치,삼천포,8미,S/P,12,12,"20,000","20,000","20,000",2016.01.02
14,(선)삼치,부산(기장),5미,S/P,1,10,"20,000","20,000","20,000",2016.01.02
15,(선)삼치,통영,8미,S/P,82,10,"22,000","15,000","18,400",2016.01.02
16,(선)줄삼치,부산(기장),3미,S/P,1,10,"10,000","10,000","10,000",2016.01.02
17,(선)삼치,삼천포,5미,S/P,40,10,"22,000","22,000","22,000",2016.01.04
18,(선)삼치,부산(기장),14미,S/P,30,12,"12,000","12,000","12,000",2016.01.04
19,(선)삼치,부산(기장),중,S/P,14,25,"60,000","60,000","60,000",2016.01.04
20,(선)삼치,부산(기장),중,S/P,5,10,"120,000","100,000","116,000",2016.01.04
21,(선)삼치,제주도,중,S/P,3,20,"80,000","80,000","80,000",2016.01.04
22,(선)삼치,여수,중,S/P,66,10,"70,000","12,000","16,400",2016.01.04
23,(선)삼치,부산(기장),3미,S/P,1,10,"22,000","22,000","22,000",2016.01.04
24,(선)삼치,부산(기장),10미,S/P,26,10,"17,000","17,000","17,000",2016.01.04
25,(선)삼치,부산(기장),10미,S/P,800,12,"20,000","20,000","20,000",2016.01.04
26,(선)삼치,삼천포,중,S/P,3,20,"92,000","90,000","90,700",2016.01.04
27,(선)삼치,부산(기장),8미,box,5,10,"35,000","35,000","35,000",2016.01.04
28,(선)삼치,포항,중,S/P,1,10,"15,000","15,000","15,000",2016.01.04
