,어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,일시
0,(활)전복,완도,11/12미,kg,22.0,1,"34,000","34,000","34,000",2020.01.02
1,(활)전복,완도,8/9미,kg,133.2,1,"36,000","33,000","34,700",2020.01.02
2,(활)전복,완도,중,kg,761.8,1,"58,000","11,000","29,000",2020.01.02
3,(활)전복,완도,14미,kg,56.4,1,"34,000","34,000","34,000",2020.01.02
4,(활)전복,완도,6/7미,kg,22.0,1,"58,000","40,000","49,000",2020.01.02
5,(활)전복,완도,14/15미,kg,56.8,1,"34,000","33,000","33,200",2020.01.02
6,(활)전복,완도,9/10미,kg,86.9,1,"55,000","33,000","36,800",2020.01.02
7,(활)전복,완도,13/14미,kg,45.4,1,"34,000","33,000","33,200",2020.01.02
8,(활)전복,완도,5/6미,kg,11.4,1,"32,000","32,000","32,000",2020.01.02
9,(활)전복,완도,12/13미,kg,55.6,1,"55,000","34,000","37,800",2020.01.02
10,(활)전복,완도,소,kg,72.0,1,"4,000","3,000","3,300",2020.01.02
11,(활)전복,완도,15/16미,kg,23.1,1,"33,000","33,000","33,000",2020.01.02
12,(활)전복,완도,7/8미,kg,77.5,1,"43,000","33,000","38,800",2020.01.02
13,(활)전복,완도,10미,kg,11.4,1,"33,000","33,000","33,000",2020.01.02
14,(활)전복,완도,17미,kg,114.3,1,"33,000","33,000","33,000",2020.01.02
15,(활)전복,완도,10/11미,kg,34.5,1,"32,000","32,000","32,000",2020.01.02
16,(활)전복,완도,11/12미,kg,104.7,1,"34,000","33,000","33,200",2020.01.03
17,(활)전복,완도,8/9미,kg,156.9,1,"34,000","33,000","33,200",2020.01.03
18,(활)전복,완도,35/40미,kg,11.2,1,"18,000","18,000","18,000",2020.01.03
19,(활)전복,완도,12미,kg,59.8,1,"34,000","33,000","33,400",2020.01.03
20,(활)전복,완도,50/60미,kg,11.1,1,"5,000","5,000","5,000",2020.01.03
21,(활)전복,완도,중,kg,723.1,1,"58,000","11,000","29,100",2020.01.03
22,(활)전복,완도,14미,kg,59.5,1,"33,000","33,000","33,000",2020.01.03
23,(활)전복,완도,6/7미,kg,22.4,1,"43,000","43,000","43,000",2020.01.03
24,(활)전복,완도,17/18미,kg,65.3,1,"34,000","33,000","33,200",2020.01.03
25,(활)전복,완도,11미,kg,60.4,1,"34,000","33,000","33,600",2020.01.03
26,(활)전복,완도,14/15미,kg,161.4,1,"34,000","33,000","33,400",2020.01.03
27,(활)전복,완도,9/10미,kg,139.2,1,"34,000","33,000","33,200",2020.01.03
28,(활)전복,완도,40미,kg,224.3,1,"18,000","12,000","15,800",2020.01.03
29,(활)전복,완도,13/14미,kg,78.7,1,"33,000","33,000","33,000",2020.01.03
30,(활)전복,완도,30미,kg,58.4,1,"25,000","25,000","25,000",2020.01.03
31,(활)전복,완도,16/17미,kg,46.2,1,"34,000","33,000","33,300",2020.01.03
32,(활)전복,완도,35미,kg,81.4,1,"20,000","17,000","19,100",2020.01.03
33,(활)전복,완도,5/6미,kg,23.4,1,"57,000","55,000","56,000",2020.01.03
34,(활)전복,완도,12/13미,kg,127.4,1,"34,000","33,000","33,400",2020.01.03
35,(활)전복,완도,15/16미,kg,79.6,1,"34,000","33,000","33,400",2020.01.03
36,(활)전복,완도,55미,kg,66.4,1,"4,000","4,000","4,000",2020.01.03
37,(활)전복,완도,22미,kg,57.8,1,"33,000","33,000","33,000",2020.01.03
38,(활)전복,완도,40/50미,kg,67.8,1,"15,000","7,000","8,300",2020.01.03
39,(활)전복,완도,21/22미,kg,23.4,1,"33,000","33,000","33,000",2020.01.03
40,(활)전복,완도,50미,kg,136.8,1,"12,000","6,000","11,000",2020.01.03
41,(활)전복,완도,7/8미,kg,167.2,1,"38,000","33,000","36,300",2020.01.03
42,(활)전복,완도,13미,kg,59.3,1,"34,000","33,000","33,600",2020.01.03
43,(활)전복,완도,10미,kg,70.6,1,"34,000","33,000","33,300",2020.01.03
44,(활)전복,완도,10/11미,kg,128.2,1,"34,000","33,000","33,300",2020.01.03
45,(냉)전복,완도,중,kg,22.0,1,"7,000","7,000","7,000",2020.01.03
46,(활)전복,완도,4미,kg,2.6,1,"105,000","105,000","105,000",2020.01.04
47,(활)전복,완도,8/9미,kg,177.0,1,"34,000","33,000","33,200",2020.01.04
48,(활)전복,완도,4/5미,kg,3.5,1,"95,000","95,000","95,000",2020.01.04
49,(활)전복,완도,중,kg,800.7,1,"58,000","11,000","27,900",2020.01.04
50,(활)전복,완도,5미,kg,8.5,1,"85,000","85,000","85,000",2020.01.04
51,(활)전복,완도,15미,kg,76.8,1,"33,000","33,000","33,000",2020.01.04
52,(활)전복,완도,14미,kg,55.1,1,"33,000","33,000","33,000",2020.01.04
53,(활)전복,완도,6/7미,kg,43.3,1,"42,000","33,000","39,700",2020.01.04
54,(활)전복,완도,11미,kg,59.6,1,"34,000","33,000","33,200",2020.01.04
55,(활)전복,완도,14/15미,kg,89.3,1,"33,000","33,000","33,000",2020.01.04
56,(활)전복,완도,9/10미,kg,171.0,1,"34,000","33,000","33,100",2020.01.04
57,(활)전복,완도,40미,kg,169.4,1,"14,000","14,000","14,000",2020.01.04
58,(활)전복,완도,13/14미,kg,102.4,1,"34,000","33,000","33,100",2020.01.04
59,(활)전복,완도,30미,kg,65.2,1,"19,000","18,000","18,300",2020.01.04
60,(활)전복,완도,16/17미,kg,33.6,1,"33,000","33,000","33,000",2020.01.04
61,(활)전복,완도,8미,kg,4.1,1,"48,000","48,000","48,000",2020.01.04
62,(활)전복,완도,5/6미,kg,10.9,1,"33,000","33,000","33,000",2020.01.04
63,(활)전복,완도,12/13미,kg,80.6,1,"33,000","33,000","33,000",2020.01.04
64,(활)전복,완도,3미,kg,3.3,1,"120,000","120,000","120,000",2020.01.04
65,(활)전복,완도,소,kg,63.8,1,"5,000","4,000","4,400",2020.01.04
66,(활)전복,완도,15/16미,kg,77.6,1,"33,000","33,000","33,000",2020.01.04
67,(활)전복,완도,6미,kg,17.3,1,"72,000","70,000","70,600",2020.01.04
68,(활)전복,완도,50미,kg,287.1,1,"14,000","6,000","11,900",2020.01.04
69,(활)전복,완도,7/8미,kg,99.2,1,"38,000","33,000","36,400",2020.01.04
70,(활)전복,완도,13미,kg,59.3,1,"34,000","33,000","33,400",2020.01.04
71,(활)전복,완도,7미,kg,15.8,1,"53,000","33,000","39,300",2020.01.04
72,(활)전복,완도,11/12미,kg,79.8,1,"34,000","33,000","33,100",2020.01.04
73,(활)전복,완도,10/11미,kg,135.8,1,"33,000","33,000","33,000",2020.01.04
74,(활)전복,완도,4미,kg,14.2,1,"115,000","112,000","114,300",2020.01.06
75,(활)전복,완도,13/14미,kg,196.2,1,"33,000","30,000","31,600",2020.01.06
76,(활)전복,완도,40미,kg,112.6,1,"13,000","13,000","13,000",2020.01.06
77,(활)전복,완도,9/10미,kg,119.5,1,"32,000","31,000","31,500",2020.01.06
78,(활)전복,완도,14/15미,kg,130.2,1,"33,000","32,000","32,300",2020.01.06
79,(활)전복,완도,11미,kg,94.9,1,"32,000","31,000","31,200",2020.01.06
80,(활)전복,완도,17/18미,kg,46.1,1,"32,000","31,000","31,500",2020.01.06
81,(활)전복,완도,6/7미,kg,41.7,1,"58,000","30,000","42,900",2020.01.06
82,(활)전복,완도,14미,kg,35.7,1,"31,000","31,000","31,000",2020.01.06
83,(활)전복,완도,25/30미,kg,11.6,1,"25,000","25,000","25,000",2020.01.06
84,(활)전복,완도,25미,kg,117.9,1,"29,000","28,000","28,300",2020.01.06
85,(활)전복,완도,5미,kg,19.3,1,"91,000","90,000","90,500",2020.01.06
86,(활)전복,완도,중,kg,525.6,1,"42,000","10,000","24,000",2020.01.06
87,(활)전복,완도,12미,kg,190.2,1,"32,000","30,000","30,800",2020.01.06
88,(활)전복,완도,35/40미,kg,71.1,1,"17,000","15,000","16,000",2020.01.06
89,(활)전복,완도,8/9미,kg,174.8,1,"34,000","30,000","32,700",2020.01.06
90,(활)전복,완도,9미,kg,70.3,1,"33,000","32,000","32,300",2020.01.06
91,(활)전복,완도,30미,kg,159.2,1,"18,000","17,000","17,200",2020.01.06
92,(활)전복,완도,16/17미,kg,12.2,1,"31,000","31,000","31,000",2020.01.06
93,(활)전복,완도,8미,kg,5.6,1,"53,000","53,000","53,000",2020.01.06
94,(활)전복,완도,11/12미,kg,174.0,1,"33,000","30,000","31,600",2020.01.06
95,(활)전복,완도,17미,kg,48.8,1,"33,000","32,000","32,300",2020.01.06
96,(활)전복,완도,10미,kg,35.4,1,"33,000","31,000","31,600",2020.01.06
97,(활)전복,완도,7미,kg,14.4,1,"56,000","56,000","56,000",2020.01.06
98,(활)전복,완도,13미,kg,58.5,1,"32,000","31,000","31,400",2020.01.06
99,(활)전복,완도,7/8미,kg,216.4,1,"37,000","32,000","34,800",2020.01.06
100,(활)전복,완도,50미,kg,126.5,1,"10,000","8,000","8,600",2020.01.06
101,(활)전복,완도,60미,kg,33.6,1,"9,000","8,000","8,300",2020.01.06
102,(활)전복,완도,22미,kg,115.2,1,"30,000","29,000","29,400",2020.01.06
103,(활)전복,완도,20미,kg,36.5,1,"31,000","31,000","31,000",2020.01.06
104,(활)전복,완도,6미,kg,23.5,1,"78,000","43,000","58,800",2020.01.06
105,(활)전복,완도,15/16미,kg,131.1,1,"33,000","31,000","32,000",2020.01.06
106,(활)전복,완도,소,kg,11.7,1,"9,000","9,000","9,000",2020.01.06
107,(활)전복,완도,45/50미,kg,34.2,1,"12,000","12,000","12,000",2020.01.06
108,(활)전복,완도,12/13미,kg,80.5,1,"32,000","32,000","32,000",2020.01.06
109,(활)전복,완도,5/6미,kg,34.1,1,"56,000","40,000","49,700",2020.01.06
110,(활)전복,완도,10/11미,kg,103.4,1,"31,000","31,000","31,000",2020.01.06
111,(활)전복,완도,4미,kg,13.1,1,"110,000","107,000","108,700",2020.01.07
112,(활)전복,완도,9/10미,kg,169.7,1,"37,000","29,000","30,000",2020.01.07
113,(활)전복,완도,14/15미,kg,116.3,1,"29,000","28,000","28,100",2020.01.07
114,(활)전복,완도,11미,kg,33.8,1,"28,000","28,000","28,000",2020.01.07
115,(활)전복,완도,17/18미,kg,11.4,1,"30,000","30,000","30,000",2020.01.07
116,(활)전복,완도,6/7미,kg,22.4,1,"43,000","35,000","39,100",2020.01.07
117,(활)전복,완도,14미,kg,66.3,1,"28,000","28,000","28,000",2020.01.07
118,(활)전복,완도,25/30미,kg,36.6,1,"23,000","22,000","22,300",2020.01.07
119,(활)전복,완도,15미,kg,54.2,1,"29,000","29,000","29,000",2020.01.07
120,(활)전복,완도,25미,kg,58.9,1,"25,000","24,000","24,200",2020.01.07
121,(활)전복,완도,5미,kg,10.9,1,"81,000","76,000","78,500",2020.01.07
122,(활)전복,완도,18/19미,kg,10.6,1,"28,000","28,000","28,000",2020.01.07
123,(활)전복,완도,중,kg,414.4,1,"41,000","10,000","25,100",2020.01.07
124,(활)전복,완도,12미,kg,171.6,1,"28,000","27,000","27,700",2020.01.07
125,(활)전복,완도,35/40미,kg,23.2,1,"18,000","18,000","18,000",2020.01.07
126,(활)전복,완도,4/5미,kg,12.0,1,"64,000","64,000","64,000",2020.01.07
127,(활)전복,완도,60/80,kg,58.7,1,"5,000","5,000","5,000",2020.01.07
128,(활)전복,완도,8/9미,kg,155.6,1,"32,000","30,000","31,200",2020.01.07
129,(활)전복,완도,9미,kg,11.5,1,"32,000","32,000","32,000",2020.01.07
130,(활)전복,완도,40미,kg,42.6,1,"10,000","10,000","10,000",2020.01.07
131,(활)전복,완도,13/14미,kg,171.4,1,"29,000","28,000","28,700",2020.01.07
132,(활)전복,완도,30미,kg,35.6,1,"25,000","24,000","24,700",2020.01.07
133,(활)전복,완도,11/12미,kg,262.8,1,"34,000","27,000","28,600",2020.01.07
134,(활)전복,완도,45미,kg,23.0,1,"6,000","6,000","6,000",2020.01.07
135,(활)전복,완도,10미,kg,67.7,1,"30,000","29,000","29,500",2020.01.07
136,(활)전복,완도,7미,kg,5.2,1,"55,000","55,000","55,000",2020.01.07
137,(활)전복,완도,7/8미,kg,155.9,1,"37,000","32,000","34,100",2020.01.07
138,(활)전복,완도,50미,kg,32.2,1,"7,000","7,000","7,000",2020.01.07
139,(활)전복,완도,40/50미,kg,11.6,1,"7,000","7,000","7,000",2020.01.07
140,(활)전복,완도,22미,kg,24.3,1,"27,000","27,000","27,000",2020.01.07
141,(활)전복,완도,55미,kg,55.8,1,"6,000","6,000","6,000",2020.01.07
142,(활)전복,완도,20미,kg,41.3,1,"32,000","28,000","28,500",2020.01.07
143,(활)전복,완도,15/16미,kg,45.5,1,"29,000","29,000","29,000",2020.01.07
144,(활)전복,완도,소,kg,86.3,1,"5,000","3,000","3,500",2020.01.07
145,(활)전복,완도,3미,kg,7.0,1,"122,000","122,000","122,000",2020.01.07
146,(활)전복,완도,12/13미,kg,181.6,1,"29,000","27,000","27,900",2020.01.07
147,(활)전복,완도,5/6미,kg,10.9,1,"40,000","40,000","40,000",2020.01.07
148,(활)전복,완도,35미,kg,47.6,1,"21,000","21,000","21,000",2020.01.07
149,(활)전복,완도,8미,kg,4.3,1,"49,000","49,000","49,000",2020.01.07
150,(활)전복,완도,16/17미,kg,36.1,1,"29,000","28,000","28,700",2020.01.07
151,(활)전복,완도,10/11미,kg,185.1,1,"31,000","27,000","28,500",2020.01.07
152,(활)전복,완도,11/12미,kg,207.0,1,"31,000","28,000","29,300",2020.01.08
153,(활)전복,완도,8/9미,kg,100.1,1,"34,000","30,000","32,700",2020.01.08
154,(활)전복,완도,60/80,kg,46.3,1,"4,000","4,000","4,000",2020.01.08
155,(활)전복,완도,4/5미,kg,12.4,1,"63,000","63,000","63,000",2020.01.08
156,(활)전복,완도,12미,kg,121.4,1,"28,000","27,000","27,100",2020.01.08
157,(활)전복,완도,중,kg,390.0,1,"58,000","10,000","23,400",2020.01.08
158,(활)전복,완도,16미,kg,43.9,1,"33,000","30,000","31,300",2020.01.08
159,(활)전복,완도,14미,kg,53.7,1,"30,000","29,000","29,200",2020.01.08
160,(활)전복,완도,6/7미,kg,21.1,1,"37,000","37,000","37,000",2020.01.08
161,(활)전복,완도,17/18미,kg,66.6,1,"33,000","30,000","32,200",2020.01.08
162,(활)전복,완도,14/15미,kg,129.6,1,"30,000","28,000","28,500",2020.01.08
163,(활)전복,완도,9/10미,kg,92.6,1,"31,000","30,000","30,300",2020.01.08
164,(활)전복,완도,40미,kg,35.8,1,"13,000","13,000","13,000",2020.01.08
165,(활)전복,완도,13/14미,kg,84.5,1,"30,000","27,000","29,000",2020.01.08
166,(활)전복,완도,16/17미,kg,36.6,1,"28,000","28,000","28,000",2020.01.08
167,(활)전복,완도,35미,kg,47.8,1,"13,000","13,000","13,000",2020.01.08
168,(활)전복,완도,5/6미,kg,23.2,1,"54,000","40,000","47,200",2020.01.08
169,(활)전복,완도,12/13미,kg,106.1,1,"30,000","28,000","29,100",2020.01.08
170,(활)전복,완도,소,kg,155.8,1,"3,000","3,000","3,000",2020.01.08
171,(활)전복,완도,15/16미,kg,95.0,1,"30,000","28,000","28,700",2020.01.08
172,(활)전복,완도,20미,kg,44.5,1,"32,000","32,000","32,000",2020.01.08
173,(활)전복,완도,50미,kg,47.3,1,"6,000","6,000","6,000",2020.01.08
174,(활)전복,완도,7/8미,kg,77.4,1,"40,000","30,000","35,900",2020.01.08
175,(활)전복,완도,10미,kg,11.5,1,"30,000","30,000","30,000",2020.01.08
176,(활)전복,완도,10/11미,kg,76.6,1,"32,000","30,000","30,600",2020.01.08
177,(활)전복,완도,11/12미,kg,228.6,1,"30,000","27,000","28,400",2020.01.09
178,(활)전복,완도,8/9미,kg,121.7,1,"33,000","30,000","31,400",2020.01.09
179,(활)전복,완도,60/80,kg,46.4,1,"4,000","4,000","4,000",2020.01.09
180,(활)전복,완도,4/5미,kg,10.9,1,"56,000","56,000","56,000",2020.01.09
181,(활)전복,완도,12미,kg,117.4,1,"29,000","27,000","27,100",2020.01.09
182,(활)전복,완도,중,kg,431.3,1,"46,000","11,000","27,400",2020.01.09
183,(활)전복,완도,16미,kg,21.7,1,"29,000","29,000","29,000",2020.01.09
184,(활)전복,완도,34/35미,kg,47.3,1,"23,000","23,000","23,000",2020.01.09
185,(활)전복,완도,25미,kg,57.5,1,"31,000","29,000","30,200",2020.01.09
186,(활)전복,완도,15미,kg,21.5,1,"30,000","29,000","29,500",2020.01.09
